forma_grega,strongs,abrev_morf,morfologia,pt,traducao,tipo,prioridade,achado,sugestao
ἀνεστράφημέν,390,V-AIP-1P,Verbo - Aoristo Indicativo Passiva - 1ª Pessoa Plural,fomos conduzido,"nós fomos conduzido, fomos vivido, fomos comportado, fomos voltado, fomos derrubado.",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'fomos conduzido'.,Revisar o número do particípio; provável forma plural: 'conduzidos'.
ἀποδοθῆναι,591,V-ANP,Verbo - Aoristo Infinitivo Passiva,retribuir,"retribuir, devolver, render",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'retribuir'.","Revisar para uma forma passiva adequada, por exemplo 'ser + particípio', quando o contexto não exigir outra solução."
ἀπολογεῖσθαι,626,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,defender,"defender, fazer uma defesa, prestar contas",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'defender'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
βλήθητι,906,V-AMP-2S,Verbo - Aoristo Imperativo Passiva - 2ª Pessoa Singular,sejas lançado,"tu sejas lançado, colocado, deitado",passiva_a_confirmar,revisar,"'V-AMP-2S' é passiva, porém a passiva não está explícita em 'sejas lançado'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
βούλεται,1014,V-PIM/P-3S,Verbo - Presente Indicativo Média ou Passiva - 3ª Pessoa Singular,quer,"ele(a) quer, deseja, tem intenção",media_passiva_ambigua,revisar,'V-PIM/P-3S' é média ou passiva e 'pt' é infinitivo ativo: 'quer'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
δαιμονισθείς,1139,V-APP-NMS,Verbo - Aoristo Particípio Passiva - Nominativo Masculino Singular,tendo estado endemoniado,"tendo sido estado possuído por um demônio, tendo sido estado sob o poder de um demônio.",passiva_a_confirmar,revisar,"'V-APP-NMS' é passiva, porém a passiva não está explícita em 'tendo estado endemoniado'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
δεθῆναι,1210,V-ANP,Verbo - Aoristo Infinitivo Passiva,amarrar,"amarrar, prender",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'amarrar'.","Revisar para uma forma passiva adequada, por exemplo 'ser + particípio', quando o contexto não exigir outra solução."
διακονηθῆναι,1247,V-ANP,Verbo - Aoristo Infinitivo Passiva,servir,"servir, ministrar, atender",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'servir'.","Revisar para uma forma passiva adequada, por exemplo 'ser + particípio', quando o contexto não exigir outra solução."
διασκορπισθήσονται,1287,V-FIP-3P,Verbo - Futuro Indicativo Passiva - 3ª Pessoa Plural,serão espalhado,"eles(as) serão espalhado, serão dispersado, serão desperdiçado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'serão espalhado'.,Revisar o número do particípio; provável forma plural: 'espalhados'.
ἐδόθησαν,1325,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram dado,"eles(as) foram dado, foram concedido, foram doado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram dado'.,Revisar o número do particípio; provável forma plural: 'dados'.
διέρχεσθαι,1330,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,passar,"passar, viajar",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'passar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
δικαιωθῆναι,1344,V-ANP,Verbo - Aoristo Infinitivo Passiva,justificar,"justificar, declarar justo, absolver",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'justificar'.","Revisar para uma forma passiva adequada, por exemplo 'ser + particípio', quando o contexto não exigir outra solução."
δικαιωθῶμεν,1344,V-ASP-1P,Verbo - Aoristo Subjuntivo Passiva - 1ª Pessoa Plural,sejamos justificado,"nós sejamos justificado, sejamos declarado justo, sejamos absolvido",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'sejamos justificado'.,Revisar o número do particípio; provável forma plural: 'justificados'.
διορυχθῆναι,1358,V-ANP,Verbo - Aoristo Infinitivo Passiva,cavar,"cavar, romper",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'cavar'.","Revisar para uma forma passiva adequada, por exemplo 'ser + particípio', quando o contexto não exigir outra solução."
δοξάζεται,1392,V-PIP-3S,Verbo - Presente Indicativo Passiva - 3ª Pessoa Singular,é glorificado,"ele(a) é glorificado, é honrado, é louvado",passiva_a_confirmar,revisar,"'V-PIP-3S' é passiva, porém a passiva não está explícita em 'é glorificado'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἠδυνήθημεν,1410,V-AIP-1P,Verbo - Aoristo Indicativo Passiva - 1ª Pessoa Plural,fomos sido capaz,"nós fomos sido capaz, fomos tido poder",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'fomos sido'.,Revisar o número do particípio; provável forma plural: 'sidos'.
ἠγέρθησαν,1453,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram levantado,"eles(as) foram levantado, foram despertado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram levantado'.,Revisar o número do particípio; provável forma plural: 'levantados'.
εἰσάγεσθαι,1521,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,trazer,"trazer, liderar, apresentar",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'trazer'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἐξεθαμβήθησαν,1568,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram ficado muito surpreso,"eles(as) foram ficado muito surpreso, foram ficado surpreso, foram ficado alarmado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram ficado'.,Revisar o número do particípio; provável forma plural: 'ficados'.
ἐκπορεύεσθαι,1607,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,sair,"sair, prosseguir",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'sair'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἐξετράπησαν,1624,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram desviado,"eles(as) foram desviado, foram evitado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram desviado'.,Revisar o número do particípio; provável forma plural: 'desviados'.
ἐνευλογηθήσονται,1757,V-FIP-3P,Verbo - Futuro Indicativo Passiva - 3ª Pessoa Plural,serão abençoado,"eles(as) serão abençoado, serão invocado uma bênção sobre",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'serão abençoado'.,Revisar o número do particípio; provável forma plural: 'abençoados'.
εὑρέθησαν,2147,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram encontrado,"eles(as) foram encontrado, foram descoberto, foram obtido",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram encontrado'.,Revisar o número do particípio; provável forma plural: 'encontrados'.
ἰάθητε,2390,V-AIP-2P,Verbo - Aoristo Indicativo Passiva - 2ª Pessoa Plural,fostes curado,"vós fostes curado, fostes restaurado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'fostes curado'.,Revisar o número do particípio; provável forma plural: 'curados'.
ἰᾶσθαι,2390,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,curar,"curar, restaurar",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'curar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἐκαθαρίσθησαν,2511,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram limpado,"eles(as) foram limpado, foram purificado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram limpado'.,Revisar o número do particípio; provável forma plural: 'limpados'.
καθῆσθαι,2521,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,sentar,"sentar, estar sentado, habitar",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'sentar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
κληθῆτε,2564,V-ASP-2P,Verbo - Aoristo Subjuntivo Passiva - 2ª Pessoa Plural,sejais chamado,"vós sejais chamado, sejais nomeado, sejais convidado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'sejais chamado'.,Revisar o número do particípio; provável forma plural: 'chamados'.
κληθῇς,2564,V-ASP-2S,Verbo - Aoristo Subjuntivo Passiva - 2ª Pessoa Singular,sejas chamado,"tu sejas chamado, sejas nomeado, sejas convidado",passiva_a_confirmar,revisar,"'V-ASP-2S' é passiva, porém a passiva não está explícita em 'sejas chamado'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
κατακεῖσθαι,2621,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,deitar,"deitar, situar",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'deitar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
κηρυχθῆναι,2784,V-ANP,Verbo - Aoristo Infinitivo Passiva,proclamar,"proclamar, pregar, anunciar",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'proclamar'.","Revisar para uma forma passiva adequada, por exemplo 'ser + particípio', quando o contexto não exigir outra solução."
ἐκοιμήθησαν,2837,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram dormido,"eles(as) foram dormido, foram adormecido, foram morrido",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram dormido'.,Revisar o número do particípio; provável forma plural: 'dormidos'.
ἐκρίθησαν,2919,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram julgado,"eles(as) foram julgado, foram decidido, foram determinado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram julgado'.,Revisar o número do particípio; provável forma plural: 'julgados'.
κρυβῆναι,2928,V-ANP,Verbo - Aoristo Infinitivo Passiva,esconder,"esconder, manter segredo",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'esconder'.","Revisar para uma forma passiva adequada, por exemplo 'ser + particípio', quando o contexto não exigir outra solução."
κτᾶσθαι,2932,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,adquirir,"adquirir, obter, possuir",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'adquirir'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
