forma_grega,strongs,abrev_morf,morfologia,pt,traducao,tipo,prioridade,achado,sugestao
σωθῆναι,4982,V-ANP,Verbo - Aoristo Infinitivo Passiva,salvar,salvar,passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'salvar'.",Revisar para 'ser + particípio' ou outra solução passiva adequada.
δύνασθαι,1410,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,poder,"poder, ser capaz, conseguir",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'poder'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
πορευθεὶς,4198,V-APP-NMS,Verbo - Aoristo Particípio Passiva - Nominativo Masculino Singular,indo,"tendo ido, tendo sido movido, tendo partido",passiva_a_confirmar,revisar,"'V-APP-NMS' é passiva, mas a passiva não está explícita em 'indo'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἀποκριθέντες,611,V-APP-NMP,Verbo - Aoristo Particípio Passiva - Nominativo Masculino Plural,tendo respondido,tendo respondido,passiva_a_confirmar,revisar,"'V-APP-NMP' é passiva, mas a passiva não está explícita em 'tendo respondido'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
δοθεῖσάν,1325,V-APP-AFS,Verbo - Aoristo Particípio Passiva - Acusativo Feminino Singular,tendo dado,tendo dado,passiva_a_confirmar,revisar,"'V-APP-AFS' é passiva, mas a passiva não está explícita em 'tendo dado'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
φοβήθητε,5399,V-AMP-2P,Verbo - Aoristo Imperativo Passiva - 2ª Pessoa Plural,temei,"vós temei, reverenciai",passiva_a_confirmar,revisar,"'V-AMP-2P' é passiva, mas a passiva não está explícita em 'temei'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἀφιέναι,863,V-ANP,Verbo - Aoristo Infinitivo Passiva,perdoar,"ser perdoado(a), cancelado(a), despedido(a)",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'perdoar'.",Revisar para 'ser + particípio' ou outra solução passiva adequada.
ἐγενήθησάν,1096,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,ocorreram,"eles(as) foram tornados, foram acontecidos",passiva_a_confirmar,revisar,"'V-AIP-3P' é passiva, mas a passiva não está explícita em 'ocorreram'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἐργάζεσθαι,2038,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,realizar,"realizar, labutar, executar, praticar",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'realizar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
σταθεὶς,2476,V-APP-NMS,Verbo - Aoristo Particípio Passiva - Nominativo Masculino Singular,tendo posicionado,"tendo posicionado, tendo estado de pé, tendo parado, tendo estabelecido",passiva_a_confirmar,revisar,"'V-APP-NMS' é passiva, mas a passiva não está explícita em 'tendo posicionado'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἐλυπήθη,3076,V-AIP-3S,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Singular,ficou angustiado,ele(a) ficou angustiado,passiva_a_confirmar,revisar,"'V-AIP-3S' é passiva, mas a passiva não está explícita em 'ficou angustiado'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
προσεύχεσθαι,4336,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,orar,"orar, suplicar",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'orar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἐσπλαγχνίσθη,4697,V-AIP-3S,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Singular,teve compaixão,"ele(a) teve compaixão, foi movido pela compaixão",passiva_a_confirmar,revisar,"'V-AIP-3S' é passiva, mas a passiva não está explícita em 'teve compaixão'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
δοθῆναι,1325,V-ANP,Verbo - Aoristo Infinitivo Passiva,ser dado,ser dado,passiva_a_confirmar,revisar,"'V-ANP' é passiva, mas a passiva não está explícita em 'ser dado'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἐγερθῆναί,1453,V-ANP,Verbo - Aoristo Infinitivo Passiva,levantar,"levantar, despertar",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'levantar'.",Revisar para 'ser + particípio' ou outra solução passiva adequada.
σταθήσεται,2476,V-FIP-3S,Verbo - Futuro Indicativo Passiva - 3ª Pessoa Singular,ficará de pé,"ele(a) será posicionado(a), ficará de pé, será estabelecido(a)",passiva_a_confirmar,revisar,"'V-FIP-3S' é passiva, mas a passiva não está explícita em 'ficará de pé'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἐφοβήθη,5399,V-AIP-3S,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Singular,temeu,"ele(a) foi temido, foi ficado alarmado, foi reverenciado",passiva_a_confirmar,revisar,"'V-AIP-3S' é passiva, mas a passiva não está explícita em 'temeu'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἀχθῆναι,71,V-ANP,Verbo - Aoristo Infinitivo Passiva,levar,"levar, conduzir, trazer",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'levar'.",Revisar para 'ser + particípio' ou outra solução passiva adequada.
ἀποκαλυφθῆναι,601,V-ANP,Verbo - Aoristo Infinitivo Passiva,ser revelado(a),"ser revelado(a), descoberto(a)",passiva_a_confirmar,revisar,"'V-ANP' é passiva, mas a passiva não está explícita em 'ser revelado(a)'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
βληθῆναι,906,V-ANP,Verbo - Aoristo Infinitivo Passiva,ser lançado(a),"ser lançado, colocado, deitado",passiva_a_confirmar,revisar,"'V-ANP' é passiva, mas a passiva não está explícita em 'ser lançado(a)'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἐγερθήσονται,1453,V-FIP-3P,Verbo - Futuro Indicativo Passiva - 3ª Pessoa Plural,serão levantado,"eles(as) serão levantado, serão despertado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'serão levantado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
πορεύθητι,4198,V-AMP-2S,Verbo - Aoristo Imperativo Passiva - 2ª Pessoa Singular,vai,"tu vai, move-te, parte",passiva_a_confirmar,revisar,"'V-AMP-2S' é passiva, mas a passiva não está explícita em 'vai'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἀναχθέντες,321,V-APP-NMP,Verbo - Aoristo Particípio Passiva - Nominativo Masculino Plural,tendo conduzido,tendo conduzido,passiva_a_confirmar,revisar,"'V-APP-NMP' é passiva, mas a passiva não está explícita em 'tendo conduzido'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἀποδοκιμασθῆναι,593,V-ANP,Verbo - Aoristo Infinitivo Passiva,rejeitar,"rejeitar, desaprovar, repudiar",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'rejeitar'.",Revisar para 'ser + particípio' ou outra solução passiva adequada.
ἀποκρίθητέ,611,V-AMP-2P,Verbo - Aoristo Imperativo Passiva - 2ª Pessoa Plural,respondei,vós respondei,passiva_a_confirmar,revisar,"'V-AMP-2P' é passiva, mas a passiva não está explícita em 'respondei'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
γεννηθεὶς,1080,V-APP-NMS,Verbo - Aoristo Particípio Passiva - Nominativo Masculino Singular,tendo gerado,"tendo gerado, tendo dado à luz, tendo produzido.",passiva_a_confirmar,revisar,"'V-APP-NMS' é passiva, mas a passiva não está explícita em 'tendo gerado'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
γεννηθῆναι,1080,V-ANP,Verbo - Aoristo Infinitivo Passiva,gerar,"gerar, dar à luz, produzir.",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'gerar'.",Revisar para 'ser + particípio' ou outra solução passiva adequada.
δεήθητε,1189,V-AMP-2P,Verbo - Aoristo Imperativo Passiva - 2ª Pessoa Plural,suplicai,"suplicai vós, implorai",passiva_a_confirmar,revisar,"'V-AMP-2P' é passiva, mas a passiva não está explícita em 'suplicai'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
δοθείσης,1325,V-APP-GFS,Verbo - Aoristo Particípio Passiva - Genitivo Feminino Singular,tendo dado,tendo dado,passiva_a_confirmar,revisar,"'V-APP-GFS' é passiva, mas a passiva não está explícita em 'tendo dado'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἠδυνήθησαν,1410,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram podido,"eles(as) foram podido, foram sido capaz, foram conseguido",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram podido'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
καθαρίσθητι,2511,V-AMP-2S,Verbo - Aoristo Imperativo Passiva - 2ª Pessoa Singular,sê limpo,"tu sê limpo, purificado",passiva_a_confirmar,revisar,"'V-AMP-2S' é passiva, mas a passiva não está explícita em 'sê limpo'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
κληθῆναι,2564,V-ANP,Verbo - Aoristo Infinitivo Passiva,ser chamado,"ser chamado, ser nomeado",passiva_a_confirmar,revisar,"'V-ANP' é passiva, mas a passiva não está explícita em 'ser chamado'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
κριθῆναι,2919,V-ANP,Verbo - Aoristo Infinitivo Passiva,ser julgado,"ser julgado, ser condenado, ser punido",passiva_a_confirmar,revisar,"'V-ANP' é passiva, mas a passiva não está explícita em 'ser julgado'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
λυθῆναι,3089,V-ANP,Verbo - Aoristo Infinitivo Passiva,ser solto,"ser solto, liberado, dissolvido, quebrado, destruído",passiva_a_confirmar,revisar,"'V-ANP' é passiva, mas a passiva não está explícita em 'ser solto'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
μνησθῆναι,3403,V-ANP,Verbo - Aoristo Infinitivo Passiva,ser lembrado(a),"lembrar, estar atento",passiva_a_confirmar,revisar,"'V-ANP' é passiva, mas a passiva não está explícita em 'ser lembrado(a)'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ὠργίσθη,3710,V-AIP-3S,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Singular,estava com raiva,"ele(a) estava com raiva, foi provocado a raiva",passiva_a_confirmar,revisar,"'V-AIP-3S' é passiva, mas a passiva não está explícita em 'estava com raiva'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
περιτέμνεσθαι,4059,V-PNP,Verbo - Presente Infinitivo Passiva,circuncidar,circuncidar,passiva_sem_marca,alta,"'V-PNP' é passiva, mas 'pt' está em infinitivo ativo: 'circuncidar'.",Revisar para 'ser + particípio' ou outra solução passiva adequada.
πραθῆναι,4097,V-ANP,Verbo - Aoristo Infinitivo Passiva,ser vendido,"vender, ser vendido",passiva_a_confirmar,revisar,"'V-ANP' é passiva, mas a passiva não está explícita em 'ser vendido'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
σκανδαλισθήσονται,4624,V-FIP-3P,Verbo - Futuro Indicativo Passiva - 3ª Pessoa Plural,tropeçarão,"eles(as) tropeçarão, serão ofendidos, se escandalizarão",passiva_a_confirmar,revisar,"'V-FIP-3P' é passiva, mas a passiva não está explícita em 'tropeçarão'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
σταυρωθῆναι,4717,V-ANP,Verbo - Aoristo Infinitivo Passiva,crucificar,"ser crucificado, pendurado numa cruz ou estaca",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'crucificar'.",Revisar para 'ser + particípio' ou outra solução passiva adequada.
ὑστερεῖσθαι,5302,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,faltar,"faltar, ficar aquém, estar necessitado, falhar.",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'faltar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
φοβηθεὶς,5399,V-APP-NMS,Verbo - Aoristo Particípio Passiva - Nominativo Masculino Singular,tendo temido,"tendo temido, tendo ficado alarmado, tendo reverenciado",passiva_a_confirmar,revisar,"'V-APP-NMS' é passiva, mas a passiva não está explícita em 'tendo temido'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
χορτασθῆναι,5526,V-ANP,Verbo - Aoristo Infinitivo Passiva,ser alimentado(a),"ser alimentado(a), preenchido(a), satisfeito(a)",passiva_a_confirmar,revisar,"'V-ANP' é passiva, mas a passiva não está explícita em 'ser alimentado(a)'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἀλλαγησόμεθα,236,V-FIP-1P,Verbo - Futuro Indicativo Passiva - 1ª Pessoa Plural,seremos mudado,"nós seremos mudado, seremos trocado, seremos transformado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'seremos mudado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
ἀνάγεσθαι,321,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,conduzir,conduzir,media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'conduzir'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἀναχθῆναι,321,V-ANP,Verbo - Aoristo Infinitivo Passiva,conduzir,conduzir,passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'conduzir'.",Revisar para 'ser + particípio' ou outra solução passiva adequada.
ἀναιρεθῆναι,337,V-ANP,Verbo - Aoristo Infinitivo Passiva,tomar,"tomar, matar, abolir, destruir",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'tomar'.",Revisar para 'ser + particípio' ou outra solução passiva adequada.
ἀναστρέφεσθαι,390,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,conduzir,"conduzir, viver, comportar, voltar, derrubar.",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'conduzir'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἀνεστράφημέν,390,V-AIP-1P,Verbo - Aoristo Indicativo Passiva - 1ª Pessoa Plural,fomos conduzido,"nós fomos conduzido, fomos vivido, fomos comportado, fomos voltado, fomos derrubado.",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'fomos conduzido'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
ἀποδοθῆναι,591,V-ANP,Verbo - Aoristo Infinitivo Passiva,retribuir,"retribuir, devolver, render",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'retribuir'.",Revisar para 'ser + particípio' ou outra solução passiva adequada.
ἀπολογεῖσθαι,626,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,defender,"defender, fazer uma defesa, prestar contas",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'defender'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
βούλεται,1014,V-PIM/P-3S,Verbo - Presente Indicativo Média ou Passiva - 3ª Pessoa Singular,quer,"ele(a) quer, deseja, tem intenção",media_passiva_ambigua,revisar,'V-PIM/P-3S' é média ou passiva e 'pt' é infinitivo ativo: 'quer'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
δαιμονισθείς,1139,V-APP-NMS,Verbo - Aoristo Particípio Passiva - Nominativo Masculino Singular,tendo estado endemoniado,"tendo sido estado possuído por um demônio, tendo sido estado sob o poder de um demônio.",passiva_a_confirmar,revisar,"'V-APP-NMS' é passiva, mas a passiva não está explícita em 'tendo estado endemoniado'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
δεθῆναι,1210,V-ANP,Verbo - Aoristo Infinitivo Passiva,amarrar,"amarrar, prender",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'amarrar'.",Revisar para 'ser + particípio' ou outra solução passiva adequada.
διακονηθῆναι,1247,V-ANP,Verbo - Aoristo Infinitivo Passiva,servir,"servir, ministrar, atender",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'servir'.",Revisar para 'ser + particípio' ou outra solução passiva adequada.
διασκορπισθήσονται,1287,V-FIP-3P,Verbo - Futuro Indicativo Passiva - 3ª Pessoa Plural,serão espalhado,"eles(as) serão espalhado, serão dispersado, serão desperdiçado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'serão espalhado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
ἐδόθησαν,1325,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram dado,"eles(as) foram dado, foram concedido, foram doado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram dado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
διέρχεσθαι,1330,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,passar,"passar, viajar",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'passar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
δικαιωθῆναι,1344,V-ANP,Verbo - Aoristo Infinitivo Passiva,justificar,"justificar, declarar justo, absolver",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'justificar'.",Revisar para 'ser + particípio' ou outra solução passiva adequada.
δικαιωθῶμεν,1344,V-ASP-1P,Verbo - Aoristo Subjuntivo Passiva - 1ª Pessoa Plural,sejamos justificado,"nós sejamos justificado, sejamos declarado justo, sejamos absolvido",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'sejamos justificado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
διορυχθῆναι,1358,V-ANP,Verbo - Aoristo Infinitivo Passiva,cavar,"cavar, romper",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'cavar'.",Revisar para 'ser + particípio' ou outra solução passiva adequada.
ἠδυνήθημεν,1410,V-AIP-1P,Verbo - Aoristo Indicativo Passiva - 1ª Pessoa Plural,fomos sido capaz,"nós fomos sido capaz, fomos tido poder",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'fomos sido'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
ἠδυνήθημεν,1410,V-AIP-1P,Verbo - Aoristo Indicativo Passiva - 1ª Pessoa Plural,fomos sido capaz,"nós fomos sido capaz, fomos tido poder",construcao_inadequada,alta,Construção inadequada com 'sido'.,"Reescrever idiomaticamente; por exemplo, 'foram capazes', 'puderam' ou 'seremos capazes', conforme o sentido."
ἠγέρθησαν,1453,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram levantado,"eles(as) foram levantado, foram despertado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram levantado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
εἰσάγεσθαι,1521,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,trazer,"trazer, liderar, apresentar",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'trazer'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἐξεθαμβήθησαν,1568,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram ficado muito surpreso,"eles(as) foram ficado muito surpreso, foram ficado surpreso, foram ficado alarmado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram ficado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
ἐξεθαμβήθησαν,1568,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram ficado muito surpreso,"eles(as) foram ficado muito surpreso, foram ficado surpreso, foram ficado alarmado",construcao_inadequada,alta,Construção inadequada com 'ficado'.,"Reescrever; por exemplo, 'ficaram' ou 'tornaram-se'."
ἐκπορεύεσθαι,1607,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,sair,"sair, prosseguir",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'sair'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἐξετράπησαν,1624,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram desviado,"eles(as) foram desviado, foram evitado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram desviado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
ἐνευλογηθήσονται,1757,V-FIP-3P,Verbo - Futuro Indicativo Passiva - 3ª Pessoa Plural,serão abençoado,"eles(as) serão abençoado, serão invocado uma bênção sobre",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'serão abençoado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
εὑρέθησαν,2147,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram encontrado,"eles(as) foram encontrado, foram descoberto, foram obtido",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram encontrado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
θεαθῆναι,2300,V-ANP,Verbo - Aoristo Infinitivo Passiva,ser notado,"ser contemplado, ser notado",passiva_a_confirmar,revisar,"'V-ANP' é passiva, mas a passiva não está explícita em 'ser notado'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἰάθητε,2390,V-AIP-2P,Verbo - Aoristo Indicativo Passiva - 2ª Pessoa Plural,fostes curado,"vós fostes curado, fostes restaurado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'fostes curado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
ἰᾶσθαι,2390,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,curar,"curar, restaurar",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'curar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἐκαθαρίσθησαν,2511,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram limpado,"eles(as) foram limpado, foram purificado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram limpado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
καθῆσθαι,2521,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,sentar,"sentar, estar sentado, habitar",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'sentar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
κληθῆτε,2564,V-ASP-2P,Verbo - Aoristo Subjuntivo Passiva - 2ª Pessoa Plural,sejais chamado,"vós sejais chamado, sejais nomeado, sejais convidado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'sejais chamado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
