forma_grega,strongs,abrev_morf,morfologia,pt,traducao,tipo,prioridade,achado,sugestao
κρυβῆναι,2928,V-ANP,Verbo - Aoristo Infinitivo Passiva,esconder,"esconder, manter segredo",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'esconder'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
λαληθῆναι,2980,V-ANP,Verbo - Aoristo Infinitivo Passiva,falar,"falar, proferir",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'falar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
λογισθῆναι,3049,V-ANP,Verbo - Aoristo Infinitivo Passiva,calcular,"calcular, considerar, contabilizar, pensar, imputar.",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'calcular'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
παραδοθῆναι,3860,V-ANP,Verbo - Aoristo Infinitivo Passiva,entregar,"entregar, trair, confiar",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'entregar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
πληρωθῆναι,4137,V-ANP,Verbo - Aoristo Infinitivo Passiva,preencher,"preencher, completar, cumprir",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'preencher'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
προπεμφθῆναι,4311,V-ANP,Verbo - Aoristo Infinitivo Passiva,enviar,"enviar, acompanhar, escoltar",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'enviar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
σαλευθῆναι,4531,V-ANP,Verbo - Aoristo Infinitivo Passiva,sacudir,"sacudir, mover, perturbar, ficar inquieto",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'sacudir'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
συναχθῆναι,4863,V-ANP,Verbo - Aoristo Infinitivo Passiva,reunir,reunir,passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'reunir'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
ὑψωθῆναι,5312,V-ANP,Verbo - Aoristo Infinitivo Passiva,elevar,"elevar, exaltar, elevar alto",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'elevar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
ἀναγνωσθῆναι,314,V-ANP,Verbo - Aoristo Infinitivo Passiva,ler,"ler, reconhecer, saber de novo",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'ler'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
ἀνακλιθῆναι,347,V-ANP,Verbo - Aoristo Infinitivo Passiva,reclinar,"reclinar, deitar, recostar",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'reclinar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
ἀνακλῖναι,347,V-ANP,Verbo - Aoristo Infinitivo Passiva,reclinar,"reclinar, deitar, recostar",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'reclinar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
ἀνεῳχθῆναι,455,V-ANP,Verbo - Aoristo Infinitivo Passiva,abrir,abrir,passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'abrir'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
ἀποκριθῆναι,611,V-ANP,Verbo - Aoristo Infinitivo Passiva,responder,responder,passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'responder'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
ἀπολογηθῆναι,626,V-ANP,Verbo - Aoristo Infinitivo Passiva,defender,"defender, fazer uma defesa, prestar contas",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'defender'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
ἀποχωρισθῆναι,673,V-ANP,Verbo - Aoristo Infinitivo Passiva,separar,"separar, partir",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'separar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
ἀσφαλισθῆναι,805,V-ANP,Verbo - Aoristo Infinitivo Passiva,proteger,"proteger, tornar seguro, prender",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'proteger'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
ἀτιμασθῆναι,818,V-ANP,Verbo - Aoristo Infinitivo Passiva,desonrar,"desonrar, tratar vergonhosamente, desprezar",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'desonrar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
γαμηθῆναι,1060,V-ANP,Verbo - Aoristo Infinitivo Passiva,casar,casar,passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'casar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
γενηθῆναι,1096,V-ANP,Verbo - Aoristo Infinitivo Passiva,tornar,"tornar, vir a ser, acontecer, ser feito",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'tornar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
διασωθῆναι,1295,V-ANP,Verbo - Aoristo Infinitivo Passiva,salvar,"salvar, preservar, trazer segurança",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'salvar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
ἐξαλειφθῆναι,1813,V-ANP,Verbo - Aoristo Infinitivo Passiva,eliminar,"eliminar, apagar, obliterar",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'eliminar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
εὑρεθῆναι,2147,V-ANP,Verbo - Aoristo Infinitivo Passiva,encontrar,"encontrar, descobrir, obter",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'encontrar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
εὐφρανθῆναι,2165,V-ANP,Verbo - Aoristo Infinitivo Passiva,alegrar,alegrar,passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'alegrar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
θεραπευθῆναι,2323,V-ANP,Verbo - Aoristo Infinitivo Passiva,curar,"curar, restaurar a saúde",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'curar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
ἰαθῆναι,2390,V-ANP,Verbo - Aoristo Infinitivo Passiva,curar,"curar, restaurar",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'curar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
κραταιωθῆναι,2901,V-ANP,Verbo - Aoristo Infinitivo Passiva,fortalecer,"fortalecer, tornar forte, capacitar",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'fortalecer'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
λυπηθῆναι,3076,V-ANP,Verbo - Aoristo Infinitivo Passiva,lamentar,"lamentar, causar tristeza, angustiar",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'lamentar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
μεγαλυνθῆναι,3170,V-ANP,Verbo - Aoristo Infinitivo Passiva,engrandecer,"engrandecer, exaltar",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'engrandecer'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
περιτμηθῆναι,4059,V-ANP,Verbo - Aoristo Infinitivo Passiva,circuncidar,circuncidar,passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'circuncidar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
πιστευθῆναι,4100,V-ANP,Verbo - Aoristo Infinitivo Passiva,acreditar,"acreditar, ter fé, confiar",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'acreditar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
πλησθῆναι,4130,V-ANP,Verbo - Aoristo Infinitivo Passiva,multiplicar,"multiplicar, aumentar, abundar",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'multiplicar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
προστεθῆναι,4369,V-ANP,Verbo - Aoristo Infinitivo Passiva,adicionar,"adicionar, aumentar, continuar, prosseguir",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'adicionar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
στηριχθῆναι,4741,V-ANP,Verbo - Aoristo Infinitivo Passiva,estabelecer,"estabelecer, fortalecer, consertar, definir firmemente",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'estabelecer'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
συλλημφθῆναι,4815,V-ANP,Verbo - Aoristo Infinitivo Passiva,apreender,"apreender, conceber, ajudar",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'apreender'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
συλληφθῆναι,4815,V-ANP,Verbo - Aoristo Infinitivo Passiva,apreender,"apreender, conceber, ajudar",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'apreender'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
τελεσθῆναι,5055,V-ANP,Verbo - Aoristo Infinitivo Passiva,completar,"completar, terminar, cumprir, realizar.",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'completar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
τηρηθῆναι,5083,V-ANP,Verbo - Aoristo Infinitivo Passiva,manter,"manter, guardar, observar, zelar",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'manter'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
τεθῆναι,5087,V-ANP,Verbo - Aoristo Infinitivo Passiva,colocar,"colocar, nomear, estabelecer",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'colocar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
φωνηθῆναι,5455,V-ANP,Verbo - Aoristo Infinitivo Passiva,chamar,"chamar, gritar, falar",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'chamar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
χαρισθῆναι,5483,V-ANP,Verbo - Aoristo Infinitivo Passiva,conceder,"conceder, dar livremente, perdoar, mostrar favor",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'conceder'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
χωρισθῆναι,5563,V-ANP,Verbo - Aoristo Infinitivo Passiva,separar,"separar, dividir, partir",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'separar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
ἀποκτένεσθαι,615,V-PNP,Verbo - Presente Infinitivo Passiva,matar,"matar, assassinar, condenar à morte",passiva_sem_marca,alta,"'V-PNP' é passiva, mas 'pt' está em infinitivo ativo: 'matar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
διορυγῆναι,1358,V-ANP,Verbo - Aoristo Infinitivo Passiva,cavar,"cavar, romper",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'cavar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
ἐγκόπτω,1465,V-PNP,Verbo - Presente Infinitivo Passiva,impedir,"impedir, cortar",passiva_sem_marca,alta,"'V-PNP' é passiva, mas 'pt' está em infinitivo ativo: 'impedir'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
ἐλευθερωθήσεται,1659,V-FIP-3S,Verbo - Futuro Indicativo Passiva - 3ª Pessoa Singular,libertar,libertar,passiva_sem_marca,alta,"'V-FIP-3S' é passiva, mas 'pt' está em infinitivo ativo: 'libertar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
ἐνεχθῆναι,5342,V-ANP,Verbo - Aoristo Infinitivo Passiva,suportar,"suportar, carregar, trazer, liderar",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'suportar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
ἐξέστραπται,1612,V-RIP-3S,Verbo - Perfeito Indicativo Passiva - 3ª Pessoa Singular,perverter,"perverter, afastar-se, distorcer",passiva_sem_marca,alta,"'V-RIP-3S' é passiva, mas 'pt' está em infinitivo ativo: 'perverter'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
ἐπιφέρεσθαι,2018,V-PNP,Verbo - Presente Infinitivo Passiva,trazer,"trazer, infligir, impor",passiva_sem_marca,alta,"'V-PNP' é passiva, mas 'pt' está em infinitivo ativo: 'trazer'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
ἑρμηνευόμενον,2059,V-PPP-NNS,Verbo - Presente Particípio Passiva - Nominativo Neutro Singular,interpretar,"interpretar, traduzir, explicar",passiva_sem_marca,alta,"'V-PPP-NNS' é passiva, mas 'pt' está em infinitivo ativo: 'interpretar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
ἡγιασμένη,37,V-RPP-NFS,Verbo - Perfeito Particípio Passiva - Nominativo Feminino Singular,santificar,"santificar, tornar santo, consagrar, separar",passiva_sem_marca,alta,"'V-RPP-NFS' é passiva, mas 'pt' está em infinitivo ativo: 'santificar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
κατηρτισμένα,2675,V-RPP-ANP,Verbo - Perfeito Particípio Passiva - Acusativo Neutro Plural,restaurar,"restaurar, equipar, aperfeiçoar, preparar, consertar",passiva_sem_marca,alta,"'V-RPP-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'restaurar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
κληθέντος,2564,V-APP-GMS,Verbo - Aoristo Particípio Passiva - Genitivo Masculino Singular,chamar,"chamar, nomear, convidar",passiva_sem_marca,alta,"'V-APP-GMS' é passiva, mas 'pt' está em infinitivo ativo: 'chamar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
κολλώμενοι,2853,V-PPP-NMP,Verbo - Presente Particípio Passiva - Nominativo Masculino Plural,unir,"unir, aderir",passiva_sem_marca,alta,"'V-PPP-NMP' é passiva, mas 'pt' está em infinitivo ativo: 'unir'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
κομιούμενοι,2865,V-FDP-NMP,Verbo - Futuro Modo D Passiva - Nª Pessoa Número M,receber,"receber, trazer, carregar, recuperar",passiva_sem_marca,alta,"'V-FDP-NMP' é passiva, mas 'pt' está em infinitivo ativo: 'receber'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
λιθοβολεῖσθαι,3036,V-PNP,Verbo - Presente Infinitivo Passiva,apedrejar,"apedrejar, atirar pedras",passiva_sem_marca,alta,"'V-PNP' é passiva, mas 'pt' está em infinitivo ativo: 'apedrejar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
μεταμορφοῦσθαι,3339,V-PNP,Verbo - Presente Infinitivo Passiva,transformar,"transformar, mudar de forma",passiva_sem_marca,alta,"'V-PNP' é passiva, mas 'pt' está em infinitivo ativo: 'transformar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
μεταστραφήτω,3344,V-AMP-3S,Verbo - Aoristo Imperativo Passiva,mudar,"mudar, alterar, perverter, transformar",passiva_sem_marca,alta,"'V-AMP-3S' é passiva, mas 'pt' está em infinitivo ativo: 'mudar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
ὁμολογεῖται,3670,V-PIP-3S,Verbo - Presente Indicativo Passiva - 3ª Pessoa Singular,confessar,"confessar, reconhecer, concordar",passiva_sem_marca,alta,"'V-PIP-3S' é passiva, mas 'pt' está em infinitivo ativo: 'confessar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
πεπείσμεθα,3982,V-RIP-1P,Verbo - Perfeito Indicativo Passiva - 1ª Pessoa Plural,persuadir,"persuadir, convencer, confiar, ter confiança",passiva_sem_marca,alta,"'V-RIP-1P' é passiva, mas 'pt' está em infinitivo ativo: 'persuadir'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
πεπραμένος,4097,V-RPP-NMS,Verbo - Perfeito Particípio Passiva - Nominativo Masculino Singular,vender,"vender, ser vendido",passiva_sem_marca,alta,"'V-RPP-NMS' é passiva, mas 'pt' está em infinitivo ativo: 'vender'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
πιστεύεται,4100,V-PIP-3S,Verbo - Presente Indicativo Passiva - 3ª Pessoa Singular,acreditar,"acreditar, ter fé, confiar",passiva_sem_marca,alta,"'V-PIP-3S' é passiva, mas 'pt' está em infinitivo ativo: 'acreditar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
τεταγμέναι,5021,V-RPP-NFP,Verbo - Perfeito Particípio Passiva - Nominativo Feminino Plural,arranjar,"arranjar, nomear, ordenar",passiva_sem_marca,alta,"'V-RPP-NFP' é passiva, mas 'pt' está em infinitivo ativo: 'arranjar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
SEM NÚMERO DE OCORRÊNCIAS,,,,,,pt_vazio,alta,Campo 'pt' está vazio.,Informe uma glossa portuguesa.
γενέσθαι,1096,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,acontecer,"vir a ser, tornar-se, acontecer",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'acontecer'.,Decidir pelo contexto; não corrigir automaticamente.
ἔρχεσθαι,2064,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,vir,"vir, ir",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'vir'.,Decidir pelo contexto; não corrigir automaticamente.
δύνασθαι,1410,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,poder,"poder, ser capaz, conseguir",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'poder'.,Decidir pelo contexto; não corrigir automaticamente.
ἐργάζεσθαι,2038,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,realizar,"realizar, labutar, executar, praticar",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'realizar'.,Decidir pelo contexto; não corrigir automaticamente.
προσεύχεσθαι,4336,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,orar,"orar, suplicar",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'orar'.,Decidir pelo contexto; não corrigir automaticamente.
ὑστερεῖσθαι,5302,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,faltar,"faltar, ficar aquém, estar necessitado, falhar.",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'faltar'.,Decidir pelo contexto; não corrigir automaticamente.
ἀνάγεσθαι,321,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,conduzir,conduzir,media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'conduzir'.,Decidir pelo contexto; não corrigir automaticamente.
ἀναστρέφεσθαι,390,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,conduzir,"conduzir, viver, comportar, voltar, derrubar.",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'conduzir'.,Decidir pelo contexto; não corrigir automaticamente.
βούλεται,1014,V-PIM/P-3S,Verbo - Presente Indicativo Média ou Passiva - 3ª Pessoa Singular,quer,"ele(a) quer, deseja, tem intenção",media_passiva_ambigua,revisar,'V-PIM/P-3S' é média ou passiva e 'pt' é infinitivo ativo: 'quer'.,Decidir pelo contexto; não corrigir automaticamente.
