forma_grega,strongs,pt_antigo,pt_novo,motivo
ἠγοράσθησαν,59,foram comprado,foram comprados,concordancia_participio
ἀρθῶσιν,142,sejam levantado,sejam levantados,concordancia_participio
αἰσχυνθῶμεν,153,sejamos envergonhado,sejamos envergonhados,concordancia_participio
ἀνήχθησαν,321,foram liderado,foram liderados,concordancia_participio
ἀναλωθῆτε,355,sejais consumido,sejais consumidos,concordancia_participio
ἀναστράφητε,390,sois conduzido,sois conduzidos,concordancia_participio
ἀνοιγῶσιν,455,sejam aberto,sejam abertos,concordancia_participio
ἀποκαλυφθῶσιν,601,sejam revelado,sejam revelados,concordancia_participio
ἀποκριθῶσιν,611,sejam respondido,sejam respondidos,concordancia_participio
ἀποκτανθῶσιν,615,sejam matado,sejam matados,concordancia_participio
ἀπελύθησαν,630,foram liberado,foram liberados,concordancia_participio
ἀπολυθήσεσθε,630,sereis liberado,sereis liberados,concordancia_participio
ἀπολυθῆτε,630,sejais liberado,sejais liberados,concordancia_participio
ἀπεπλανήθησαν,635,foram desviado,foram desviados,concordancia_participio
ἁρπαγησόμεθα,726,seremos apreendido,seremos apreendidos,concordancia_participio
αὐξηθῆτε,837,sejais crescido,sejais crescidos,concordancia_participio
βαρηθῶσιν,916,sejam pesado,sejam pesados,concordancia_participio
ἐβαρήθημεν,916,fomos pesado,fomos pesados,concordancia_participio
γεγεννήμεθα,1080,fomos gerado,fomos gerados,concordancia_participio
ἐγεννήθημεν,1080,fomos gerado,fomos gerados,concordancia_participio
γενήθητε,1096,sois tornado,sois tornados,concordancia_participio
δαρήσεσθε,1194,sereis batido,sereis batidos,concordancia_participio
διακριθῆτε,1252,sejais distinguido,sejais distinguidos,concordancia_participio
διεκρίθητε,1252,fostes distinguido,fostes distinguidos,concordancia_participio
διελέχθησαν,1256,foram discutido,foram discutidos,concordancia_participio
διελύθησαν,1262,foram dissolvido,foram dissolvidos,concordancia_participio
διηνοίχθησαν,1272,foram aberto completamente,foram abertos completamente,concordancia_participio
διεσκορπίσθησαν,1287,foram espalhado,foram espalhados,concordancia_participio
διεσπάρησαν,1289,foram espalhado,foram espalhados,concordancia_participio
ἐδιδάχθησαν,1321,foram ensinado,foram ensinados,concordancia_participio
ἐδικαιώθητε,1344,fostes justificado,fostes justificados,concordancia_participio
ἐδουλώθητε,1402,fostes escravizado,fostes escravizados,concordancia_participio
ἐδυναμώθησαν,1412,foram capacitado,foram capacitados,concordancia_participio
Ἐγέρθητε,1453,sois levantado,sois levantados,concordancia_participio
ἐξεκαύθησαν,1572,foram acendido,foram acendidos,concordancia_participio
ἐκλυθῶσιν,1590,sejam desmaiado,sejam desmaiados,concordancia_participio
ἐξεπλάγησαν,1605,foram surpreendido,foram surpreendidos,concordancia_participio
ἐξεχύθησαν,1632,foram derramado,foram derramados,concordancia_participio
ἠλεήθημεν,1653,fomos tido misericórdia,fomos tidos misericórdia,concordancia_participio
ἐνεφανίσθησαν,1718,foram tornado manifesto,foram tornados manifesto,concordancia_participio
ἐπηγγείλαντο,1861,foram prometido,foram prometidos,concordancia_participio
ἐπεστράφητε,1994,fostes virado,fostes virados,concordancia_participio
ἐρρέθησαν,2046,foram dito,foram ditos,concordancia_participio
εὑρέθημεν,2147,fomos encontrado,fomos encontrados,concordancia_participio
εὑρεθησόμεθα,2147,seremos encontrado,seremos encontrados,concordancia_participio
εὑρεθῆτε,2147,sejais encontrado,sejais encontrados,concordancia_participio
εὑρεθῶσιν,2147,sejam encontrado,sejam encontrados,concordancia_participio
εὐφρανθῶμεν,2165,sejamos alegrado,sejamos alegrados,concordancia_participio
ζημιωθῆτε,2210,sejais sofrido perdas,sejais sofridos perdas,concordancia_participio
ἐθαμβήθησαν,2284,foram surpreendido,foram surpreendidos,concordancia_participio
ἐθεραπεύθησαν,2323,foram curado,foram curados,concordancia_participio
σταθήσεσθε,2476,sereis posicionado,sereis posicionados,concordancia_participio
σταθῆτε,2476,sejais posicionado,sejais posicionados,concordancia_participio
ἐστάθησαν,2476,foram posicionado,foram posicionados,concordancia_participio
κατεστάθησαν,2525,foram nomeado,foram nomeados,concordancia_participio
κληθῶμεν,2564,sejamos chamado,sejamos chamados,concordancia_participio
κατεαγῶσιν,2608,sejam quebrado,sejam quebrados,concordancia_participio
καταδικασθῆτε,2613,sejais condenado,sejais condenados,concordancia_participio
καταισχυνθῶμεν,2617,sejamos envergonhado,sejamos envergonhados,concordancia_participio
καταισχυνθῶσιν,2617,sejam envergonhado,sejam envergonhados,concordancia_participio
κατακριθῶμεν,2632,sejamos condenado,sejamos condenados,concordancia_participio
καταλλάγητε,2644,sois reconciliado,sois reconciliados,concordancia_participio
κατηλλάγημεν,2644,fomos reconciliado,fomos reconciliados,concordancia_participio
κατενύγησαν,2660,foram perfurado completamente,foram perfurados completamente,concordancia_participio
κατηξιώθησαν,2661,foram considerado digno,foram considerados digno,concordancia_participio
κατεπόθησαν,2666,foram engolido,foram engolidos,concordancia_participio
κατηργήθητε,2673,fostes abolido,fostes abolidos,concordancia_participio
κατεστρώθησαν,2693,foram espalhado,foram espalhados,concordancia_participio
ἐκαυματίσθησαν,2739,foram queimado,foram queimados,concordancia_participio
κείμεθα,2749,somos colocado(a),somos colocados(a),concordancia_participio
ἐκινήθησαν,2795,foram movido,foram movidos,concordancia_participio
κλεισθῶσιν,2808,sejam fechado,sejam fechados,concordancia_participio
ἐκλείσθησαν,2808,foram fechado,foram fechados,concordancia_participio
κοιμηθησόμεθα,2837,seremos dormido,seremos dormidos,concordancia_participio
ἐκολλήθησαν,2853,foram unido,foram unidos,concordancia_participio
ἐκολοβώθησαν,2856,foram encurtado,foram encurtados,concordancia_participio
κριθῶσι,2919,sejam julgado,sejam julgados,concordancia_participio
κριθῶσιν,2919,sejam julgado,sejam julgados,concordancia_participio
ἐκτίσθησαν,2936,foram criado,foram criados,concordancia_participio
λιθασθῶσιν,3034,sejam apedrejado,sejam apedrejados,concordancia_participio
ἐλιθοβόλησαν,3036,foram apedrejado,foram apedrejados,concordancia_participio
λυπηθήσεσθε,3076,sereis lamentado,sereis lamentados,concordancia_participio
λυπηθῆτε,3076,sejais lamentado,sejais lamentados,concordancia_participio
ἐλυτρώθητε,3084,fostes redimido,fostes redimidos,concordancia_participio
ἐλύθησαν,3089,foram soltado,foram soltados,concordancia_participio
ἐμαρτυρήθησαν,3140,foram testemunhado,foram testemunhados,concordancia_participio
ἐματαιώθησαν,3154,foram tornado fútil,foram tornados fútil,concordancia_participio
ἐμεθύσθησαν,3182,foram embebedado,foram embebedados,concordancia_participio
μεθυσθῶσιν,3184,sejam estado bêbado,sejam estados bêbado,concordancia_participio
ἐμολύνθησαν,3435,foram contaminado,foram contaminados,concordancia_participio
ξενισθῶμεν,3579,sejamos entretido,sejamos entretidos,concordancia_participio
ὤφθησαν,3708,foram visto,foram vistos,concordancia_participio
ὠργίσθησαν,3710,foram estado com raiva,foram estados com raiva,concordancia_participio
παιδευθῶσιν,3811,sejam treinado,sejam treinados,concordancia_participio
παρεδέχθησαν,3858,foram recebido,foram recebidos,concordancia_participio
παραδοθήσεσθε,3860,sereis entregado,sereis entregados,concordancia_participio
παρεδόθητε,3860,fostes entregado,fostes entregados,concordancia_participio
παρακληθῶσιν,3870,sejam chamado para o seu lado,sejam chamados para o seu lado,concordancia_participio
παρεκλήθησαν,3870,foram chamado para o seu lado,foram chamados para o seu lado,concordancia_participio
παρεισέδυσαν,3921,foram entrado secretamente,foram entrados secretamente,concordancia_participio
πειρασθῆτε,3985,sejais testado,sejais testados,concordancia_participio
ἐπειράσθησαν,3985,foram testado,foram testados,concordancia_participio
περιετμήθητε,4059,fostes circuncidado,fostes circuncidados,concordancia_participio
περιτμηθῆτε,4059,sejais circuncidado,sejais circuncidados,concordancia_participio
ἐπικράνθησαν,4087,foram tornado amargo,foram tornados amargo,concordancia_participio
ἐπιστεύθησαν,4100,foram acreditado,foram acreditados,concordancia_participio
πλανηθῆτε,4105,sejais desviado,sejais desviados,concordancia_participio
πλατύνθητε,4115,sois ampliado,sois ampliados,concordancia_participio
ἐπλουτίσθητε,4148,fostes enriquecido,fostes enriquecidos,concordancia_participio
πορευθῆτε,4198,sejais ido,sejais idos,concordancia_participio
πορευθῶσιν,4198,sejam ido,sejam idos,concordancia_participio
ἐποτίσθημεν,4222,fomos dado para beber,fomos dados para beber,concordancia_participio
ἐπρίσθησαν,4249,foram serrado,foram serrados,concordancia_participio
προσωρμίσθησαν,4358,foram trazido para o porto,foram trazidos para o porto,concordancia_participio
προσετέθησαν,4369,foram adicionado,foram adicionados,concordancia_participio
προσηνέχθησαν,4374,foram trazido,foram trazidos,concordancia_participio
πτοηθῆτε,4422,sejais assustado,sejais assustados,concordancia_participio
ῥυσθῶμεν,4506,sejamos resgatado,sejamos resgatados,concordancia_participio
ἐσείσθησαν,4579,foram sacudido,foram sacudidos,concordancia_participio
σκορπισθῆτε,4650,sejais espalhado,sejais espalhados,concordancia_participio
ἐστερεώθησαν,4732,foram firmado,foram firmados,concordancia_participio
στραφῆτε,4762,sejais virado,sejais virados,concordancia_participio
συνάχθητε,4863,sois reunido,sois reunidos,concordancia_participio
συνετάφημεν,4916,fomos enterrado juntos,fomos enterrados juntos,concordancia_participio
συνυπεκρίθησαν,4942,foram juntado à hipocrisia,foram juntados à hipocrisia,concordancia_participio
ἐσχίσθησαν,4977,foram dividido,foram divididos,concordancia_participio
ταραχθῆτε,5015,sejais perturbado,sejais perturbados,concordancia_participio
τελειωθῶσιν,5048,sejam completado,sejam completados,concordancia_participio
τελεσθῶσιν,5055,sejam completado,sejam completados,concordancia_participio
τεθῶσιν,5087,sejam colocado,sejam colocados,concordancia_participio
τιμωρηθῶσιν,5097,sejam punido,sejam punidos,concordancia_participio
ἐτυμπανίσθησαν,5178,foram torturado,foram torturados,concordancia_participio
ὑποταγησόμεθα,5293,seremos sujeitado,seremos sujeitados,concordancia_participio
ὑψωθῆτε,5312,sejais elevado,sejais elevados,concordancia_participio
φανῶμεν,5316,sejamos mostrado,sejamos mostrados,concordancia_participio
ἐφάνησαν,5316,foram mostrado,foram mostrados,concordancia_participio
φανερωθήσεσθε,5319,sereis tornado manifesto,sereis tornados manifesto,concordancia_participio
φανερωθῶσιν,5319,sejam tornado manifesto,sejam tornados manifesto,concordancia_participio
ἐφανερώθησαν,5319,foram tornado manifesto,foram tornados manifesto,concordancia_participio
ἐφυσιώθησάν,5448,foram inchado,foram inchados,concordancia_participio
ὠφελήθησαν,5623,foram beneficiado,foram beneficiados,concordancia_participio
ἀφέθησαν,863,foram mandado embora,foram mandados embora,concordancia_participio
ἐλεηθῶσιν,1653,sejam tido misericórdia,sejam tidos misericórdia,concordancia_participio
ἐλιθάσθησαν,3034,foram apedrejado,foram apedrejados,concordancia_participio
ἐλογίσθημεν,3049,fomos calculado,fomos calculados,concordancia_participio
ἐνεδυναμώθησαν,1743,foram capacitado,foram capacitados,concordancia_participio
ἐπωρώθησαν,4456,foram endurecido,foram endurecidos,concordancia_participio
ἐρρήθησαν,2046,foram dito,foram ditos,concordancia_participio
ἐσώθημεν,4982,fomos salvado,fomos salvados,concordancia_participio
εὐφράνθητε,2165,sois alegrado,sois alegrados,concordancia_participio
ἤχθημεν,71,fomos liderado,fomos liderados,concordancia_participio
ἠχρειώθησαν,889,foram tornado inútil,foram tornados inútil,concordancia_participio
καταξιωθῆτε,2661,sejais considerado digno,sejais considerados digno,concordancia_participio
κατηργήθημεν,2673,fomos abolido,fomos abolidos,concordancia_participio
ὀνειδιζόμεθα,3679,somos censurado,somos censurados,concordancia_participio
συνδοξασθῶμεν,4888,sejamos glorificado juntos,sejamos glorificados juntos,concordancia_participio
