grego,strongs,campo,valor_original,valor_corrigido,palavra_errada,correcao
ἀγαλλιώμεθα,21,traducao,"nós nos regozijemos muito, exultemos, ficemos extremamente feliz.","nós nos regozijemos muito, exultemos, fiquemos extremamente feliz.",ficemos,fiquemos
διαμερισθήσεται,1266,traducao,"ele(a) será dividido, será distribuido, será repartido","ele(a) será dividido, será distribuído, será repartido",distribuido,distribuído
διεξελθοῦσα,1831,traducao,"tendo saido, tendo partido","tendo saído, tendo partido",saido,saído
διεφθάρη,1311,traducao,"ele(a) tendo sido destruido, tendo sido corrompido, tendo sido arruinado, tendo sido estragado","ele(a) tendo sido destruído, tendo sido corrompido, tendo sido arruinado, tendo sido estragado",destruido,destruído
διεφθάρη,1311,pt,tendo sido destruido(a),tendo sido destruído(a),destruido,destruído
ἐθελοθρησκείᾳ,1479,traducao,à religiõe auto-imposta,à religiões auto-imposta,religiõe,religiões
ἐθελοθρησκείᾳ,1479,pt,à religiõe auto-imposta,à religiões auto-imposta,religiõe,religiões
ἐκκακήσητε,1573,traducao,"vós desanimeis, ficeis cansado, desmaieis","vós desanimeis, fiqueis cansado, desmaieis",ficeis,fiqueis
ἐκκακῶμεν,1573,traducao,"nós desanimemos, ficemos cansado, desmaiemos","nós desanimemos, fiquemos cansado, desmaiemos",ficemos,fiquemos
ἐξαρθῇ,1808,traducao,"ele(a) seja tirado, seja removido, seja levantado, seja destruido.","ele(a) seja tirado, seja removido, seja levantado, seja destruído.",destruido,destruído
ἐξεληλύθατε,1831,traducao,"vós saistes, partistes","vós saístes, partistes",saistes,saístes
ἐξεληλύθατε,1831,pt,saistes,saístes,saistes,saístes
ἐξολοθρευθήσεται,1842,traducao,"ele(a) será destruido completamente, será exterminado, será erradicado","ele(a) será destruído completamente, será exterminado, será erradicado",destruido,destruído
ἐξολοθρευθήσεται,1842,pt,será destruido completamente,será destruído completamente,destruido,destruído
ἐπιμείνῃς,1961,traducao,"ele(a) permaneca, continue, persista, fice","ele(a) permaneca, continue, persista, fique",fice,fique
ἐπιμείνωσιν,1961,traducao,"eles(as) permanecam, continuem, persistam, ficem","eles(as) permanecam, continuem, persistam, fiquem",ficem,fiquem
ἐποικοδομηθέντες,2026,traducao,tendo sido construidos,tendo sido construídos,construidos,construídos
ἐποικοδομηθέντες,2026,pt,tendo sido construidos,tendo sido construídos,construidos,construídos
καταφθαρήσονται,2704,traducao,"eles(as) serão corrompido, serão destruido, serão arruinado","eles(as) serão corrompido, serão destruído, serão arruinado",destruido,destruído
κατειχόμεθα,2722,traducao,"nós éramos segurado firme, éramos restringido, éramos possuido, éramos mantido","nós éramos segurado firme, éramos restringido, éramos possuído, éramos mantido",possuido,possuído
λήψεως,3028,traducao,da recebenda,da recebendo,recebenda,recebendo
λήψεως,3028,pt,da recebenda,da recebendo,recebenda,recebendo
μεμιασμένοις,3392,traducao,"tendo se manchado, tendo se contaminado, tendo se poluido","tendo se manchado, tendo se contaminado, tendo se poluído",poluido,poluído
ὅρασις,3706,traducao,visõe,visões,visõe,visões
ὅρασις,3706,pt,visõe,visões,visõe,visões
παραδεδωκόσιν,3860,traducao,"tendo entregado, tendo traido, tendo confiado","tendo entregado, tendo traído, tendo confiado",traido,traído
παρεδίδοτο,3860,traducao,"ele(a) era entregado, era traido, era confiado","ele(a) era entregado, era traído, era confiado",traido,traído
πεσόντας,4098,traducao,"tendo caido, tendo descido, tendo perecido, tendo falhado","tendo caído, tendo descido, tendo perecido, tendo falhado",caido,caído
πεσόντας,4098,pt,tendo caido,tendo caído,caido,caído
προεβίβασαν,4264,traducao,"eles(as) levaram adiante, trouxeram, instruiram","eles(as) levaram adiante, trouxeram, instruíram",instruiram,instruíram
συγγνώμην,4774,traducao,perdõe,perdões,perdõe,perdões
συγγνώμην,4774,pt,perdõe,perdões,perdõe,perdões
συζητήσεως,4803,traducao,da discussõe,da discussões,discussõe,discussões
συζητήσεως,4803,pt,da discussõe,da discussões,discussõe,discussões
συμβιβασθέντων,4822,traducao,"tendo sido unidos, tendo sido reunidos, tendo sido instruidos, tendo sido provados","tendo sido unidos, tendo sido reunidos, tendo sido instruídos, tendo sido provados",instruidos,instruídos
ᾠκοδομήθη,3618,traducao,"ele(a) foi construido, foi edificado","ele(a) foi construído, foi edificado",construido,construído
ᾠκοδομήθη,3618,pt,foi construido,foi construído,construido,construído
