grego,strongs,campo,palavra_suspeita,texto_contexto,sugestao,decisao
Ἐφέσῳ,2181,traducao,éfeso,a Éfeso,,
Ἐφέσῳ,2181,pt,éfeso,a Éfeso,,
Καισαρείας,2542,traducao,cesareia,de Cesareia,,
Καισαρείας,2542,pt,cesareia,de Cesareia,,
κεκράτηνται,2902,traducao,manteram,"eles(as) seguraram, agarraram, prenderam, manteram",,
κρατῆτε,2902,traducao,mantais,"vós segureis, agarreis, prendais, mantais",,
Ναζαρέθ,3478,traducao,nazaré,Nazaré,,
Ναζαρέθ,3478,pt,nazaré,Nazaré,,
Ναθαναήλ,3482,traducao,natanael,Natanael,,
Ναθαναήλ,3482,pt,natanael,Natanael,,
παρακαλοῦμεν,3870,traducao,lit,"nós rogamos, convocamos, invocamos, lit. chamamos para perto, (a) exortamos, encorajamos, (p) somos consolado",,
παρακαλέσαι,3870,traducao,lit,"rogar, convocar, invocar, lit. chamar para perto, (a) exortar, encorajar, (p) ser consolado",,
παρεκάλεσαν,3870,traducao,lit,"eles(as) rogaram, convocaram, invocaram, lit. chamaram para perto, (a) exortaram, encorajaram, (p) foram consolado",,
περιπατῶν,4043,traducao,fig,"andando, fig. vivendo",,
περιπατοῦντας,4043,traducao,fig,"andando, fig. vivendo",,
Τιμόθεον,5095,traducao,timóteo,Timóteo,,
Τιμόθεον,5095,pt,timóteo,Timóteo,,
Φῆλιξ,5344,traducao,félix,Félix,,
Φῆλιξ,5344,pt,félix,Félix,,
ἀγαπῶ,25,traducao,prefero,"eu amo, no sentido de prefero (ação, não sentimento)",,
ἄρῃ,142,traducao,ergua,"ele(a) ergua, levante, tome, carregue, remova",,
ἄρῃ,142,pt,ergua,ergua,,
Ἁλφαίου,256,traducao,alfeu,de Alfeu,,
Ἁλφαίου,256,pt,alfeu,de Alfeu,,
ἐπιούσῃ,1966,traducao,lit,"seguinte, lit. seguindo, vindo a seguir",,
Κηφᾶς,2786,traducao,cefas,Cefas,,
Κηφᾶς,2786,pt,cefas,Cefas,,
Κιλικίας,2791,traducao,cilícia,da Cilícia,,
Κιλικίας,2791,pt,cilícia,da Cilícia,,
Λευὶ,3017,traducao,levi,Levi,,
Λευὶ,3017,pt,levi,Levi,,
Νικόδημος,3530,traducao,nicodemos,Nicodemos,,
Νικόδημος,3530,pt,nicodemos,Nicodemos,,
παρακάλει,3870,traducao,lit,"tu roga, convoca, invoca, lit. chama para perto, (a) exorta, encoraja, (p) sê consolado",,
παρεκάλεσά,3870,traducao,rogei,"eu rogei, convoquei, invoquei, lit. chamei para perto, (a) exortei, encorajei, (p) fui consolado",,
παρεκάλεσά,3870,traducao,lit,"eu rogei, convoquei, invoquei, lit. chamei para perto, (a) exortei, encorajei, (p) fui consolado",,
παρεκάλεσά,3870,pt,rogei,rogei,,
περιπατοῦντα,4043,traducao,fig,"andando, fig. vivendo",,
περιπατοῦντες,4043,traducao,fig,"andando, fig. vivendo",,
προσκυνοῦντας,4352,traducao,lit,"prostrando, reverenciando, adorando, lit. beijando o chão",,
Ἅβελ,6,traducao,abel,Abel,,
Ἅβελ,6,pt,abel,Abel,,
ᾅδου,86,traducao,hades,do Hades,,
ᾅδου,86,pt,hades,do Hades,,
Αἰγύπτῳ,125,traducao,egito,ao Egito,,
Αἰγύπτῳ,125,pt,egito,ao Egito,,
ἀράτω,142,traducao,ergua,"ele(a) ergua, levante, tome, carregue, remova",,
ἀράτω,142,pt,ergua,ergua,,
Ἀλέξανδρος,223,traducao,alexandre,Alexandre,,
Ἀλέξανδρος,223,pt,alexandre,Alexandre,,
Ἀνδρέαν,406,traducao,andré,André,,
Ἀνδρέαν,406,pt,andré,André,,
Ἀντιοχείᾳ,490,traducao,antioquia,a Antioquia,,
Ἀντιοχείᾳ,490,pt,antioquia,a Antioquia,,
Ἁριμαθαίας,707,traducao,arimatéia,de Arimatéia,,
Ἁριμαθαίας,707,pt,arimatéia,de Arimatéia,,
Βενιαμίν,958,traducao,benjamin,Benjamin,,
Βενιαμίν,958,pt,benjamin,Benjamin,,
Βηθανία,963,traducao,betânia,Betânia,,
Βηθανία,963,pt,betânia,Betânia,,
Γαλιλαῖοι,1057,traducao,galiléia,"Galileu, da Galiléia",,
Γαλιλαῖος,1057,traducao,galiléia,"Galileu, da Galiléia",,
Ζαχαρίας,2197,traducao,zacarias,Zacarias,,
Ζαχαρίας,2197,pt,zacarias,Zacarias,,
Ζαχαρίου,2197,traducao,zacarias,de Zacarias,,
Ζαχαρίου,2197,pt,zacarias,de Zacarias,,
Ἠλίᾳ,2243,traducao,elias,a Elias,,
Ἠλίᾳ,2243,pt,elias,a Elias,,
ἐθαύμασεν,2296,traducao,peu,"ele(a) se maravilhou, peu implicação, admirou",,
Ἰόππην,2445,traducao,jope,Jope,,
Ἰόππην,2445,pt,jope,Jope,,
Ἰόππῃ,2445,traducao,jope,à Jope,,
Ἰόππῃ,2445,pt,jope,à Jope,,
Κανὰ,2580,traducao,caná,Caná,,
Κανὰ,2580,pt,caná,Caná,,
Κορίνθῳ,2882,traducao,corinto,a Corinto,,
Κορίνθῳ,2882,pt,corinto,a Corinto,,
ἐκράτησαν,2902,traducao,manteram,"eles(as) seguraram, agarraram, prenderam, manteram",,
Κύπρον,2954,traducao,chipre,Chipre,,
Κύπρον,2954,pt,chipre,Chipre,,
μαμωνᾶ,3126,traducao,mamon,de Mamon,,
μαμωνᾶ,3126,pt,mamon,de Mamon,,
μαμωνᾷ,3126,traducao,mamon,a Mamon,,
μαμωνᾷ,3126,pt,mamon,a Mamon,,
Ναζαρέτ,3478,traducao,nazaré,Nazaré,,
Ναζαρέτ,3478,pt,nazaré,Nazaré,,
παρακαλοῦντες,3870,traducao,lit,"rogando, convocando, invocando, lit. chamando para perto, (a) exortando, encorajando, (p) sendo consolado",,
πειράζων,3985,traducao,adj,"testando, tentando, examinando; como adj., tentador",,
προσεκύνει,4352,traducao,lit,"ele(a) se prostrava, reverenciava, adorava, lit. beijava o chão",,
προσεκύνησεν,4352,traducao,lit,"ele(a) se prostrou, reverenciou, adorou, lit. beijou o chão",,
Ῥώμην,4516,traducao,roma,Roma,,
Ῥώμην,4516,pt,roma,Roma,,
Σαῦλον,4569,traducao,saulo,Saulo,,
Σαῦλον,4569,pt,saulo,Saulo,,
Σιδῶνι,4605,traducao,sidon,a Sidon,,
Σιδῶνι,4605,pt,sidon,a Sidon,,
Σιδῶνος,4605,traducao,sidon,de Sidon,,
Σιδῶνος,4605,pt,sidon,de Sidon,,
Σοδόμων,4670,traducao,sodoma,de Sodoma,,
Σοδόμων,4670,pt,sodoma,de Sodoma,,
Ἀββά,5,traducao,abba,Abba,,
Ἀββά,5,pt,abba,Abba,,
Ἀβιά,7,traducao,abias,Abias,,
Ἀβιά,7,pt,abias,Abias,,
ᾅδης,86,traducao,hades,Hades,,
ᾅδης,86,pt,hades,Hades,,
Ἀμιναδάβ,284,traducao,aminadabe,Aminadabe,,
Ἀμιναδάβ,284,pt,aminadabe,Aminadabe,,
Ἀμών,300,traducao,amon,Amon,,
Ἀμών,300,pt,amon,Amon,,
Ἀμώς,301,traducao,amós,Amós,,
Ἀμώς,301,pt,amós,Amós,,
Ἀντιοχείας,490,traducao,antioquia,de Antioquia,,
Ἀντιοχείας,490,pt,antioquia,de Antioquia,,
ἀπολλύμεθα,622,traducao,perdemo,"nós destruímo-nos, perecemos, perdemo-nos",,
Ἀρτέμιδος,735,traducao,ártemis,de Ártemis,,
Ἀρτέμιδος,735,pt,ártemis,de Ártemis,,
Βηθσαιδά,966,traducao,betsaida,Betsaida,,
Βηθσαιδά,966,pt,betsaida,Betsaida,,
Βηθφαγὴ,967,traducao,betfagé,Betfagé,,
Βηθφαγὴ,967,pt,betfagé,Betfagé,,
Γαλατίας,1053,traducao,galácia,da Galácia,,
Γαλατίας,1053,pt,galácia,da Galácia,,
Γεννησαρέτ,1082,traducao,genesaré,Genesaré,,
Γεννησαρέτ,1082,pt,genesaré,Genesaré,,
Γεργεσηνῶν,1086,traducao,gergesenos,dos Gergesenos,,
Γεργεσηνῶν,1086,pt,gergesenos,dos Gergesenos,,
Δέρβην,1191,traducao,derbe,Derbe,,
Δέρβην,1191,pt,derbe,Derbe,,
Δημᾶς,1214,traducao,demas,Demas,,
Δημᾶς,1214,pt,demas,Demas,,
ἐβραΐδι,1446,traducao,hebréia,na língua Hebréia,,
ἐβραΐδι,1446,pt,hebréia,na língua Hebréia,,
ἔλεγχε,1651,traducao,expe,"tu condena, reprova, expe, refuta, corrige",,
Ἐλιακίμ,1662,traducao,eliaquim,Eliaquim,,
Ἐλιακίμ,1662,pt,eliaquim,Eliaquim,,
Ἐλιακείμ,1662,traducao,eliaquim,Eliaquim,,
Ἐλιακείμ,1662,pt,eliaquim,Eliaquim,,
Ἑσρώμ,2074,traducao,esrom,Esrom,,
Ἑσρώμ,2074,pt,esrom,Esrom,,
Ζαβουλὼν,2194,traducao,zebulon,Zebulon,,
Ζαβουλὼν,2194,pt,zebulon,Zebulon,,
Ζοροβάβελ,2216,traducao,zorobabel,Zorobabel,,
Ζοροβάβελ,2216,pt,zorobabel,Zorobabel,,
Ἡρῴδῃ,2264,traducao,herodes,a Herodes,,
Ἡρῴδῃ,2264,pt,herodes,a Herodes,,
Ἡρῳδιάδος,2266,traducao,herodias,de Herodias,,
Ἡρῳδιάδος,2266,pt,herodias,de Herodias,,
Ἠσαῦ,2269,traducao,esaú,Esaú,,
Ἠσαῦ,2269,pt,esaú,Esaú,,
τρίχας,2359,traducao,pêlos,"cabelos, pêlos",,
τρίχες,2359,traducao,pêlos,"cabelos, pêlos",,
Ἰκονίῳ,2430,traducao,icônio,a Icônio,,
Ἰκονίῳ,2430,pt,icônio,a Icônio,,
Ἰωσῆτος,2500,traducao,josés,de Josés,,
Ἰωσῆτος,2500,pt,josés,de Josés,,
Κηφᾶ,2786,traducao,cefas,de Cefas,,
Κηφᾶ,2786,pt,cefas,de Cefas,,
Κιλικίαν,2791,traducao,cilícia,Cilícia,,
Κιλικίαν,2791,pt,cilícia,Cilícia,,
κρατήσατε,2902,traducao,mantei,"vós segurai, agarrai, prendei, mantei",,
ἐκράτησεν,2902,traducao,manteu,"ele(a) segurou, agarrou, prendeu, manteu",,
Λαοδικείᾳ,2993,traducao,laodicéia,a Laodicéia,,
Λαοδικείᾳ,2993,pt,laodicéia,a Laodicéia,,
Λύσατε,3089,traducao,destrui,"vós soltai, liberai, dissolvei, quebrai, destrui",,
Ναασσών,3476,traducao,naasson,Naasson,,
Ναασσών,3476,pt,naasson,Naasson,,
Νεφθαλίμ,3508,traducao,naftali,Naftali,,
Νεφθαλίμ,3508,pt,naftali,Naftali,,
Νεφθαλείμ,3508,traducao,naftali,Naftali,,
Νεφθαλείμ,3508,pt,naftali,Naftali,,
παρακαλεῖν,3870,traducao,lit,"rogar, convocar, invocar, lit. chamar para perto, (a) exortar, encorajar, (p) ser consolado",,
παρακαλεῖτε,3870,traducao,lit,"vós rogai, convocai, invocai, lit. chamai para perto, (a) exortai, encorajai, (p) sede consolado",,
παρεκάλεσέν,3870,traducao,lit,"ele(a) rogou, convocou, invocou, lit. chamou para perto, (a) exortou, encorajou, (p) foi consolado",,
περιεπάτησεν,4043,traducao,fig,"ele(a) andou, fig. viveu",,
περιπατήσωμεν,4043,traducao,fig,"nós andemos, fig. vivamos",,
περιπατῇ,4043,traducao,fig,"ele(a) ande, fig. viva",,
περιπατῶμεν,4043,traducao,fig,"nós andemos, fig. vivamos",,
προσκυνεῖν,4352,traducao,lit,"prostrar-se, reverenciar, adorar, lit. beijar o chão",,
προσκυνῆσαι,4352,traducao,lit,"prostrar, reverenciar, adorar, lit. beijar o chão",,
προφητεύσουσιν,4395,traducao,predizerão,"eles(as) profetizarão, predizerão",,
Ῥώμῃ,4516,traducao,roma,a Roma,,
Ῥώμῃ,4516,pt,roma,a Roma,,
Σαλαθιήλ,4528,traducao,salatiel,Salatiel,,
Σαλαθιήλ,4528,pt,salatiel,Salatiel,,
Σαμουὴλ,4545,traducao,samuel,Samuel,,
Σαμουὴλ,4545,pt,samuel,Samuel,,
Σιλωάμ,4611,traducao,siloé,Siloé,,
Σιλωάμ,4611,pt,siloé,Siloé,,
Σοδόμοις,4670,traducao,sodoma,a Sodoma,,
Σοδόμοις,4670,pt,sodoma,a Sodoma,,
Σόδομα,4670,traducao,sodoma,Sodoma,,
Σόδομα,4670,pt,sodoma,Sodoma,,
Τιβεριάδος,5085,traducao,tiberíades,de Tiberíades,,
Τιβεριάδος,5085,pt,tiberíades,de Tiberíades,,
Τρῳάδα,5174,traducao,trôade,Trôade,,
Τρῳάδα,5174,pt,trôade,Trôade,,
Τύχικος,5190,traducao,tíquico,Tíquico,,
Τύχικος,5190,pt,tíquico,Tíquico,,
Ἰωβὴδ,5601,traducao,obede,Obede,,
Ἰωβὴδ,5601,pt,obede,Obede,,
Ὠβὴδ,5601,traducao,obede,Obede,,
Ὠβὴδ,5601,pt,obede,Obede,,
Ἀβιούδ,10,traducao,abiúde,Abiúde,,
Ἀβιούδ,10,pt,abiúde,Abiúde,,
Ἄγαβος,13,traducao,ágabo,Ágabo,,
Ἄγαβος,13,pt,ágabo,Ágabo,,
ᾅδην,86,traducao,hades,Hades,,
ᾅδην,86,pt,hades,Hades,,
Ἀζώρ,107,traducao,azor,Azor,,
Ἀζώρ,107,pt,azor,Azor,,
Ἀθήναις,116,traducao,atenas,Atenas,,
Ἀθήναις,116,pt,atenas,Atenas,,
Ἀθηνῶν,116,traducao,atenas,Atenas,,
Ἀθηνῶν,116,pt,atenas,Atenas,,
ἄλογα,249,traducao,irracionais,irracionais,,
ἄλογα,249,pt,irracionais,irracionais,,
Ἁνανία,367,traducao,ananias,Ananias,,
Ἁνανία,367,pt,ananias,Ananias,,
Ἀνδρέου,406,traducao,andré,de André,,
Ἀνδρέου,406,pt,andré,de André,,
ἀπώλεσα,622,pt,destrui,destrui,,
Ἄρτεμις,735,traducao,ártemis,Ártemis,,
Ἄρτεμις,735,pt,ártemis,Ártemis,,
Ἀρχίππῳ,751,traducao,arquipo,a Arquipo,,
Ἀρχίππῳ,751,pt,arquipo,a Arquipo,,
Ἀσάφ,760,traducao,asafe,Asafe,,
Ἀσάφ,760,pt,asafe,Asafe,,
Ἀσήρ,768,traducao,aser,Aser,,
Ἀσήρ,768,pt,aser,Aser,,
Ἀχάζ,881,traducao,acaz,Acaz,,
Ἀχάζ,881,pt,acaz,Acaz,,
Ἀχίμ,885,traducao,aquim,Aquim,,
Ἀχίμ,885,pt,aquim,Aquim,,
Ἀχείμ,885,traducao,aquim,Aquim,,
Ἀχείμ,885,pt,aquim,Aquim,,
Βαραββᾶς,912,traducao,barrabás,Barrabás,,
Βαραββᾶς,912,pt,barrabás,Barrabás,,
Βαρσαββᾶν,923,traducao,barsabás,Barsabás,,
Βαρσαββᾶν,923,pt,barsabás,Barsabás,,
Βερνίκη,959,traducao,berenice,Berenice,,
Βερνίκη,959,pt,berenice,Berenice,,
Βηθανίας,963,traducao,betânia,de Betânia,,
Βηθανίας,963,pt,betânia,de Betânia,,
Βηθσαιδάν,966,traducao,betsaida,Betsaida,,
Βηθσαιδάν,966,pt,betsaida,Betsaida,,
Βοὲς,1003,traducao,boaz,Boaz,,
Βοὲς,1003,pt,boaz,Boaz,,
Γαβριὴλ,1043,traducao,gabriel,Gabriel,,
Γαβριὴλ,1043,pt,gabriel,Gabriel,,
Γαμαλιήλ,1059,traducao,gamaliel,Gamaliel,,
Γαμαλιήλ,1059,pt,gamaliel,Gamaliel,,
Γεθσημανί,1068,traducao,getsêmani,Getsêmani,,
Γεθσημανί,1068,pt,getsêmani,Getsêmani,,
Γόμορρα,1116,traducao,gomorra,Gomorra,,
Γόμορρα,1116,pt,gomorra,Gomorra,,
γραμματεῦσιν,1122,traducao,escribos,aos escribos,,
γραμματεῦσιν,1122,pt,escribos,aos escribos,,
Δανιὴλ,1158,traducao,daniel,Daniel,,
Δανιὴλ,1158,pt,daniel,Daniel,,
Δεκαπόλεως,1179,traducao,decápolis,de Decápolis,,
Δεκαπόλεως,1179,pt,decápolis,de Decápolis,,
Δημήτριος,1216,traducao,demétrio,Demétrio,,
Δημήτριος,1216,pt,demétrio,Demétrio,,
εἰώθει,1486,traducao,estara,ele(a) estara acostumado,,
εἰώθει,1486,pt,estara,estara acostumado,,
εἰδωλολάτραις,1496,traducao,idólatros,aos idólatros,,
εἰδωλολάτραις,1496,pt,idólatros,aos idólatros,,
εἰδωλολάτρης,1496,traducao,idólatro,idólatro,,
εἰδωλολάτρης,1496,pt,idólatro,idólatro,,
Ἐλεάζαρ,1648,traducao,eleazar,Eleazar,,
Ἐλεάζαρ,1648,pt,eleazar,Eleazar,,
ἔλεγξον,1651,traducao,expe,"tu condena, reprova, expe, refuta, corrige",,
Ἐλιούδ,1664,traducao,eliud,eliud,,
Ἐλιούδ,1664,pt,eliud,eliud,,
Ἐπαφρᾶς,1889,traducao,epafro,Epafro,,
Ἐπαφρᾶς,1889,pt,epafro,Epafro,,
Ἔραστος,2037,traducao,erasto,Erasto,,
Ἔραστος,2037,pt,erasto,Erasto,,
Ἑρμῆν,2060,traducao,herme,herme,,
Ἑρμῆν,2060,pt,herme,herme,,
εὐαγγελιστοῦ,2099,traducao,evangelisto,do evangelisto,,
εὐαγγελιστοῦ,2099,pt,evangelisto,do evangelisto,,
Ἐφέσου,2181,traducao,éfesa,da éfesa,,
Ἐφέσου,2181,pt,éfesa,da éfesa,,
Ζακχαῖος,2195,traducao,zaqueu,Zaqueu,,
Ζακχαῖος,2195,pt,zaqueu,Zaqueu,,
Ζαχαρίαν,2197,traducao,zacario,zacario,,
Ζαχαρίαν,2197,pt,zacario,zacario,,
ηλι,2241,traducao,eli,eli,,
ηλι,2241,pt,eli,eli,,
Ἠλίου,2243,traducao,elio,do elio,,
Ἠλίου,2243,pt,elio,do elio,,
Ἡρῴδην,2264,traducao,herodes,Herodes,,
Ἡρῴδην,2264,pt,herodes,Herodes,,
Ἡρῳδιάδα,2266,traducao,herodias,Herodias,,
Ἡρῳδιάδα,2266,pt,herodias,Herodias,,
Ἠσαίαν,2268,traducao,isaío,isaío,,
Ἠσαίαν,2268,pt,isaío,isaío,,
Θεόφιλε,2321,traducao,teófilo,Teófilo,,
Θεόφιλε,2321,pt,teófilo,Teófilo,,
Θεσσαλονίκην,2332,traducao,tessalônica,Tessalônica,,
Θεσσαλονίκην,2332,pt,tessalônica,Tessalônica,,
Θεσσαλονίκῃ,2332,traducao,tessalônica,à Tessalônica,,
Θεσσαλονίκῃ,2332,pt,tessalônica,à Tessalônica,,
Θυατείροις,2363,traducao,tiatiros,aos Tiatiros,,
Θυατείροις,2363,pt,tiatiros,aos Tiatiros,,
θυμοί,2372,traducao,iros,iros,,
θυμοί,2372,pt,iros,iros,,
Ἰάϊρος,2383,traducao,jairo,Jairo,,
Ἰάϊρος,2383,pt,jairo,Jairo,,
Ἰακώβῳ,2385,traducao,jame,ao jame,,
Ἰακώβῳ,2385,pt,jame,ao jame,,
Ἰάσονος,2394,traducao,jasão,do Jasão,,
Ἰάσονος,2394,pt,jasão,do Jasão,,
Ἰάσων,2394,traducao,jasão,Jasão,,
Ἰάσων,2394,pt,jasão,Jasão,,
Ἰκόνιον,2430,traducao,icônio,Icônio,,
Ἰκόνιον,2430,pt,icônio,Icônio,,
Ἰόππης,2445,traducao,jope,de Jope,,
Ἰόππης,2445,pt,jope,de Jope,,
Ἰορδάνην,2446,traducao,jordão,Jordão,,
Ἰορδάνην,2446,pt,jordão,Jordão,,
Ἰορδάνῃ,2446,traducao,jordão,ao Jordão,,
Ἰορδάνῃ,2446,pt,jordão,ao Jordão,,
Ἰσραηλίτης,2475,traducao,israelito,Israelito,,
Ἰσραηλίτης,2475,pt,israelito,Israelito,,
Ἰταλίαν,2482,traducao,itália,Itália,,
Ἰταλίαν,2482,pt,itália,Itália,,
Ἰταλίας,2482,traducao,itália,da Itália,,
Ἰταλίας,2482,pt,itália,da Itália,,
Ἰωαθάμ,2488,traducao,jotão,Jotão,,
Ἰωαθάμ,2488,pt,jotão,Jotão,,
Ἰωράμ,2496,traducao,joram,Joram,,
Ἰωράμ,2496,pt,joram,Joram,,
Ἰωσαφάτ,2498,traducao,josafá,Josafá,,
Ἰωσαφάτ,2498,pt,josafá,Josafá,,
καθήσεσθε,2521,traducao,estáis,"vós sentais, estáis sentado, habitais",,
Καιάφαν,2533,traducao,caifá,Caifá,,
Καιάφαν,2533,pt,caifá,Caifá,,
Καινάμ,2536,traducao,kainam,kainam,,
Καινάμ,2536,pt,kainam,kainam,,
κατάσχωμεν,2722,traducao,restringamos,"nós seguremos firme, restringamos, possuamos, mantenhamos",,
Κενχρεαῖς,2747,traducao,cencréias,às Cencréias,,
Κενχρεαῖς,2747,pt,cencréias,às Cencréias,,
κιθαρῳδῶν,2790,traducao,harpistos,dos harpistos,,
κιθαρῳδῶν,2790,pt,harpistos,dos harpistos,,
Κόρινθον,2882,traducao,corinta,corinta,,
Κόρινθον,2882,pt,corinta,corinta,,
κρατεῖτε,2902,traducao,manteis,"vós apreendeis, segurais, agarrais, reteis, manteis",,
ἐκρατήσατέ,2902,traducao,mantestes,"vós apreendestes, segurastes, agarrastes, retestes, mantestes",,
Λευὶν,3018,traducao,levi,Levi,,
