grego;strongs;campo;palavra_original;decisao;antes;depois
ἀλείψωσιν;218;traducao;ungam;unjam;eles(as) ungam;eles(as) unjam
ἀλείψωσιν;218;pt;ungam;unjam;ungam;unjam
Ἀλέξανδρος;223;traducao;alexandre;Alexandre;Alexandre;Alexandre
Ἀλέξανδρος;223;pt;alexandre;Alexandre;Alexandre;Alexandre
Ἀλέξανδρον;223;traducao;alexandre;Alexandre;Alexandre;Alexandre
Ἀλέξανδρον;223;pt;alexandre;Alexandre;Alexandre;Alexandre
Ἀλεξάνδρου;223;traducao;alexandre;Alexandre;do Alexandre;do Alexandre
Ἀλεξάνδρου;223;pt;alexandre;Alexandre;do Alexandre;do Alexandre
Ἁλφαίου;256;traducao;alfeu;Alfeu;de Alfeu;de Alfeu
Ἁλφαίου;256;pt;alfeu;Alfeu;de Alfeu;de Alfeu
Ἀμιναδάβ;284;traducao;aminadabe;Aminadabe;Aminadabe;Aminadabe
Ἀμιναδάβ;284;pt;aminadabe;Aminadabe;Aminadabe;Aminadabe
Ἀμπλιᾶτος;291;traducao;amplíato;Amplíato;Amplíato;Amplíato
Ἀμπλιᾶτος;291;pt;amplíato;Amplíato;Amplíato;Amplíato
ἀμπλίαν;291;traducao;amplíato;Amplíato;Amplíato;Amplíato
ἀμπλίαν;291;pt;amplíato;Amplíato;Amplíato;Amplíato
Ἀμφίπολιν;295;traducao;anfípoli;Anfípolis;anfípoli;Anfípolis
Ἀμφίπολιν;295;pt;anfípoli;Anfípolis;anfípoli;Anfípolis
Ἀμών;300;traducao;amon;Amon;Amon;Amon
Ἀμών;300;pt;amon;Amon;Amon;Amon
Ἀμώς;301;traducao;amós;Amós;Amós;Amós
Ἀμώς;301;pt;amós;Amós;Amós;Amós
ἀναβαίνουσιν;305;traducao;subem;subam;eles(as) subem;eles(as) subam
ἀναβαίνουσιν;305;pt;subem;sobem;subem;sobem
ἀνεῖλον;337;traducao;destruiram;destruíram;eles(as) ocuparam, mataram, aboliram, destruiram;eles(as) ocuparam, mataram, aboliram, destruíram
ἀνείλετε;337;traducao;destruistes;destruístes;vós ocupastes, matastes, abolistes, destruistes;vós ocupastes, matastes, abolistes, destruístes
Ἁνανίας;367;traducao;ananias;Ananias;Ananias;Ananias
Ἁνανίας;367;pt;ananias;Ananias;Ananias;Ananias
Ἁνανία;367;traducao;ananias;Ananias;Ananias;Ananias
Ἁνανία;367;pt;ananias;Ananias;Ananias;Ananias
Ἁνανίαν;367;traducao;ananias;Ananias;Ananias;Ananias
Ἁνανίαν;367;pt;ananias;Ananias;Ananias;Ananias
ἀναπαύσωνται;373;pt;desçansar;descansar;desçansar;descansar
ἀναπαύσωνται;373;traducao;desçansar;descansar;desçansar, refresçar, dar desçanso;descansar, refresçar, dar desçanso
ἀναπαύσωνται;373;traducao;refresçar;refrescar;descansar, refresçar, dar desçanso;descansar, refrescar, dar desçanso
ἀναπαύσωνται;373;traducao;desçanso;descanso;descansar, refrescar, dar desçanso;descansar, refrescar, dar descanso
ἀνέθετο;394;traducao;expeu;expôs;ele(a) expeu, declarou, colocou diante, comunicou;ele(a) expôs, declarou, colocou diante, comunicou
ἀνεθέμην;394;traducao;expi;expus;eu expi, declarei, coloquei diante, comuniquei;eu expus, declarei, coloquei diante, comuniquei
ἀνέθετο;394;pt;expeu;expôs;expeu;expôs
ἀνεθέμην;394;pt;expi;expus;expi;expus
Ἀνδρέας;406;traducao;andré;André;André;André
Ἀνδρέας;406;pt;andré;André;André;André
Ἀνδρέαν;406;traducao;andré;André;André;André
Ἀνδρέαν;406;pt;andré;André;André;André
Ἀνδρέᾳ;406;traducao;andré;André;ao André;ao André
Ἀνδρέᾳ;406;pt;andré;André;ao André;ao André
Ἀνδρέου;406;traducao;andré;André;de André;de André
Ἀνδρέου;406;pt;andré;André;de André;de André
ἀνδρόνικον;408;traducao;andrônico;Andrônico;Andrônico;Andrônico
ἀνδρόνικον;408;pt;andrônico;Andrônico;Andrônico;Andrônico
ἀνθέστηκεν;436;traducao;opeu;opôs;ele(a) resistiu, se opeu;ele(a) resistiu, se opôs
ἀνθεστηκότες;436;traducao;opido;oposto;tendo resistido, tendo opido;tendo resistido, tendo oposto
Ἅννα;451;traducao;ana;Ana;Ana;Ana
Ἅννα;451;pt;ana;Ana;Ana;Ana
ἀντιλέγοντα;483;traducao;opendo;opondo;falando contra, opendo, contradizendo;falando contra, opondo, contradizendo
Ἀντιοχείᾳ;490;traducao;antioquia;Antioquia;a Antioquia;a Antioquia
Ἀντιοχείᾳ;490;pt;antioquia;Antioquia;a Antioquia;a Antioquia
Ἀντιόχειαν;490;traducao;antioquia;Antioquia;Antioquia;Antioquia
Ἀντιόχειαν;490;pt;antioquia;Antioquia;Antioquia;Antioquia
Ἀντιοχείας;490;traducao;antioquia;Antioquia;de Antioquia;de Antioquia
Ἀντιοχείας;490;pt;antioquia;Antioquia;de Antioquia;de Antioquia
Ἀντιοχέα;491;traducao;antioquio;Antioquia;antioquio;Antioquia
Ἀντιοχέα;491;pt;antioquio;Antioquia;antioquio;Antioquia
ἀπεράντοις;562;traducao;sens;sem;às sens fim;às sem fim
ἀπεράντοις;562;pt;sens;sem;às sens fim;às sem fim
ἀπεῖχεν;568;traducao;abstia;abstinha;ele(a) tinha por inteiro, recebia, estava distante, se abstia;ele(a) tinha por inteiro, recebia, estava distante, se abstinha
ἀπέχεσθε;568;traducao;abstei;abstenhai;vós tende por inteiro, recebei, estai distante, vos abstei;vós tende por inteiro, recebei, estai distante, vos abstenhai
ἀπέχετε;568;traducao;estáis;estais;vós tendes por inteiro, recebeis, estáis distante, vos absteis;vós tendes por inteiro, recebeis, estais distante, vos absteis
ἀπέχετε;568;traducao;absteis;abstenhais;vós tendes por inteiro, recebeis, estais distante, vos absteis;vós tendes por inteiro, recebeis, estais distante, vos abstenhais
ἀποβάλητε;577;traducao;perdais;pecais;vós jogueis fora, perdais;vós jogueis fora, pecais
ἀποθνῄσκωμεν;599;traducao;perecamos;pereçamos;nós morramos, perecamos;nós morramos, pereçamos
ἀπέκρυψεν;613;traducao;manteu;manteve;ele(a) escondeu, manteu segredo;ele(a) escondeu, manteve segredo
ἀπέκρυψας;613;traducao;manteste;mantiveste;tu escondeste, manteste segredo;tu escondeste, mantiveste segredo
ἀπόλλυνται;622;pt;destróem;destroem;destróem;destroem
ἀπώλεσα;622;pt;destrui;destruí;destrui;destruí
ἀπόλλυνται;622;traducao;destróem;destroem;eles(as) destróem, perecem, perdem;eles(as) destroem, perecem, perdem
ἀπόλωνται;622;traducao;perdam;percam;eles(as) destruam, pereçam, perdam;eles(as) destruam, pereçam, percam
ἀπολέσωμεν;622;traducao;perecamos;pereçamos;nós destruamos, perecamos, perdamos;nós destruamos, pereçamos, perdamos
ἀπολέσωμεν;622;traducao;perdamos;percamos;nós destruamos, pereçamos, perdamos;nós destruamos, pereçamos, percamos
ἀπολέσητε;622;traducao;perdais;percais;vós destruais, pereçais, perdais;vós destruais, pereçais, percais
Ἀπολλύων;623;traducao;apoliom;Apoliom;Apoliom;Apoliom
Ἀπολλύων;623;pt;apoliom;Apoliom;Apoliom;Apoliom
Ἀπολλωνίαν;624;traducao;apolónia;Apolônia;Apolónia;Apolônia
Ἀπολλωνίαν;624;pt;apolónia;Apolônia;Apolónia;Apolônia
ἀποφυγόντας;668;pt;esçapado;escapado;tendo esçapado;tendo escapado
ἀποφυγόντας;668;traducao;esçapado;escapado;tendo esçapado, tendo fugido, tendo evitado;tendo escapado, tendo fugido, tendo evitado
ἀργυροκόπος;695;traducao;ourive;ourives;ourive;ourives
ἀργυροκόπος;695;pt;ourive;ourives;ourive;ourives
Ἁρέτα;702;traducao;areto;Aretas;do areto;do Aretas
Ἁρέτα;702;pt;areto;Aretas;do areto;do Aretas
Ἁριμαθαίας;707;traducao;arimatéia;Arimatéia;de Arimatéia;de Arimatéia
Ἁριμαθαίας;707;pt;arimatéia;Arimatéia;de Arimatéia;de Arimatéia
ἀριστοβούλου;711;traducao;aristóbulo;Aristóbulo;de Aristóbulo;de Aristóbulo
ἀριστοβούλου;711;pt;aristóbulo;Aristóbulo;de Aristóbulo;de Aristóbulo
Μαγεδών;717;traducao;armagedom;Armagedom;Armagedom;Armagedom
Μαγεδών;717;pt;armagedom;Armagedom;Armagedom;Armagedom
Ἃρ ͜ ;717;traducao;armagedom;Armagedom;Armagedom;Armagedom
Ἃρ ͜ ;717;pt;armagedom;Armagedom;Armagedom;Armagedom
ἁρμαγεδών;717;traducao;armagedom;Armagedom;Armagedom;Armagedom
ἁρμαγεδών;717;pt;armagedom;Armagedom;Armagedom;Armagedom
ἀρτεμᾶν;734;traducao;ártemas;Ártemas;Ártemas;Ártemas
ἀρτεμᾶν;734;pt;ártemas;Ártemas;Ártemas;Ártemas
Ἄρτεμις;735;traducao;ártemis;Ártemis;Ártemis;Ártemis
Ἄρτεμις;735;pt;ártemis;Ártemis;Ártemis;Ártemis
Ἀρτέμιδος;735;traducao;ártemis;Ártemis;de Ártemis;de Ártemis
Ἀρτέμιδος;735;pt;ártemis;Ártemis;de Ártemis;de Ártemis
Ἀρφαξάδ;742;traducao;arfaxade;Arfaxade;arfaxade;Arfaxade
Ἀρφαξάδ;742;pt;arfaxade;Arfaxade;arfaxade;Arfaxade
Ἀρχέλαος;745;traducao;arquelau;Arquelau;Arquelau;Arquelau
Ἀρχέλαος;745;pt;arquelau;Arquelau;Arquelau;Arquelau
Ἀρχίππῳ;751;traducao;arquipo;Arquipo;a Arquipo;a Arquipo
Ἀρχίππῳ;751;pt;arquipo;Arquipo;a Arquipo;a Arquipo
ἀρωμάτων;759;traducao;especiarios;especiarias;dos especiarios;dos especiarias
ἀρωμάτων;759;pt;especiarios;especiarias;dos especiarios;dos especiarias
Ἀσάφ;760;traducao;asafe;Asafe;Asafe;Asafe
Ἀσάφ;760;pt;asafe;Asafe;Asafe;Asafe
Ἀσήρ;768;traducao;aser;Aser;Aser;Aser
Ἀσήρ;768;pt;aser;Aser;Aser;Aser
ἀσσαρίου;787;traducao;assarion;assarion;de assarion;de assarion
ἀσσαρίου;787;pt;assarion;assarion;de assarion;de assarion
ἀσσαρίων;787;traducao;assariones;assarions;dos assariones;dos assarions
ἀσσαρίων;787;pt;assariones;assarions;dos assariones;dos assarions
ἀστραπτούσαις;797;pt;pisçando;piscando;pisçando;piscando
ἀστραπτούσαις;797;traducao;pisçando;piscando;pisçando, brilhando, brilhando como um relâmpago;piscando, brilhando, brilhando como um relâmpago
ἄστροις;798;traducao;estrelos;estrelas;aos estrelos;aos estrelas
ἄστροις;798;pt;estrelos;estrelas;aos estrelos;aos estrelas
ἄστρων;798;traducao;estrelos;estrelas;dos estrelos;dos estrelas
ἄστρων;798;pt;estrelos;estrelas;dos estrelos;dos estrelas
ἄστρα;798;traducao;estrelos;estrelas;estrelos;estrelas
ἄστρα;798;pt;estrelos;estrelas;estrelos;estrelas
ἀσύγκριτον;799;traducao;assíncrito;Asíncrito;Assíncrito;Asíncrito
ἀσύγκριτον;799;pt;assíncrito;Asíncrito;Assíncrito;Asíncrito
Ἀττάλειαν;825;traducao;atália;Atália;Atália;Atália
Ἀττάλειαν;825;pt;atália;Atália;Atália;Atália
αὐτοκατάκριτος;843;traducao;autocondenado;autocondenado;autocondenado;autocondenado
αὐτοκατάκριτος;843;pt;autocondenado;autocondenado;autocondenado;autocondenado
ἀφανίζουσιν;853;pt;destróem;destroem;destróem;destroem
ἀφανίζουσιν;853;traducao;destróem;destroem;eles(as) destróem, desaparecem, tornam invisível;eles(as) destroem, desaparecem, tornam invisível
ἀφίστασο;868;traducao;cae;cai;tu parte, te retira, remove, abandona, cae;tu parte, te retira, remove, abandona, cai
Ἀχάζ;881;traducao;acaz;Acaz;Acaz;Acaz
Ἀχάζ;881;pt;acaz;Acaz;Acaz;Acaz
Ἀχίμ;885;traducao;aquim;Aquim;Aquim;Aquim
Ἀχίμ;885;pt;aquim;Aquim;Aquim;Aquim
Ἀχείμ;885;traducao;aquim;Aquim;Aquim;Aquim
Ἀχείμ;885;pt;aquim;Aquim;Aquim;Aquim
Βαλαάμ;903;traducao;balaão;Balaão;Balaão;Balaão
Βαλαάμ;903;pt;balaão;Balaão;Balaão;Balaão
Βαλὰκ;904;traducao;balaque;Balaque;Balaque;Balaque
Βαλὰκ;904;pt;balaque;Balaque;Balaque;Balaque
βαπτίσωνται;907;traducao;imergam;imergiam;eles(as) batizem, imergam, mergulhem;eles(as) batizem, imergiam, mergulhem
Βαραββᾶν;912;traducao;barrabás;Barrabás;Barrabás;Barrabás
Βαραββᾶν;912;pt;barrabás;Barrabás;Barrabás;Barrabás
Βαραββᾶς;912;traducao;barrabás;Barrabás;Barrabás;Barrabás
Βαραββᾶς;912;pt;barrabás;Barrabás;Barrabás;Barrabás
Βαράκ;913;traducao;baraque;Baraque;Baraque;Baraque
Βαράκ;913;pt;baraque;Baraque;Baraque;Baraque
βαρσαβᾶν;923;traducao;barrabás;Barrabás;Barrabás;Barrabás
βαρσαβᾶν;923;pt;barrabás;Barrabás;Barrabás;Barrabás
Βαρσαββᾶν;923;traducao;barsabás;Barsabás;Barsabás;Barsabás
Βαρσαββᾶν;923;pt;barsabás;Barsabás;Barsabás;Barsabás
Βαρτίμαιος;924;traducao;bartimeu;Bartimeu;Bartimeu;Bartimeu
Βαρτίμαιος;924;pt;bartimeu;Bartimeu;Bartimeu;Bartimeu
Βεελζεβοὺλ;954;traducao;belzebu;Belzebu;Belzebu;Belzebu
Βεελζεβοὺλ;954;pt;belzebu;Belzebu;Belzebu;Belzebu
Βελίαρ;955;traducao;beliar;Belial;Beliar;Belial
Βελίαρ;955;pt;beliar;Belial;Beliar;Belial
Βενιαμίν;958;traducao;benjamin;Benjamin;Benjamin;Benjamin
Βενιαμίν;958;pt;benjamin;Benjamin;Benjamin;Benjamin
Βερνίκη;959;traducao;berenice;Berenice;Berenice;Berenice
Βερνίκη;959;pt;berenice;Berenice;Berenice;Berenice
Βερνίκης;959;traducao;berenice;Berenice;da Berenice;da Berenice
Βερνίκης;959;pt;berenice;Berenice;da Berenice;da Berenice
Βεροίᾳ;960;traducao;beréia;Beréia;à Beréia;à Beréia
Βεροίᾳ;960;pt;beréia;Beréia;à Beréia;à Beréia
Βέροιαν;960;traducao;beréia;Beréia;Beréia;Beréia
Βέροιαν;960;pt;beréia;Beréia;Beréia;Beréia
Βεροιαῖος;961;traducao;bereano;Bereano;Bereano;Bereano
Βεροιαῖος;961;pt;bereano;Bereano;Bereano;Bereano
Βηθανίαν;963;traducao;betânia;Betânia;Betânia;Betânia
Βηθανίαν;963;pt;betânia;Betânia;Betânia;Betânia
Βηθανία;963;traducao;betânia;Betânia;Betânia;Betânia
Βηθανία;963;pt;betânia;Betânia;Betânia;Betânia
Βηθανίας;963;traducao;betânia;Betânia;de Betânia;de Betânia
Βηθανίας;963;pt;betânia;Betânia;de Betânia;de Betânia
βηθεσδά;964;traducao;betesda;Betesda;Betesda;Betesda
βηθεσδά;964;pt;betesda;Betesda;Betesda;Betesda
Βηθζαθά;964;traducao;betesdo;Betesda;Betesdo;Betesda
Βηθζαθά;964;pt;betesdo;Betesda;Betesdo;Betesda
Βηθσαιδά;966;traducao;betsaida;Betsaida;Betsaida;Betsaida
Βηθσαιδά;966;pt;betsaida;Betsaida;Betsaida;Betsaida
Βηθσαιδάν;966;traducao;betsaida;Betsaida;Betsaida;Betsaida
Βηθσαιδάν;966;pt;betsaida;Betsaida;Betsaida;Betsaida
Βηθφαγὴ;967;traducao;betfagé;Betfagé;Betfagé;Betfagé
Βηθφαγὴ;967;pt;betfagé;Betfagé;Betfagé;Betfagé
βηθσφαγὴ;967;traducao;betfagé;Betfagé;Betfagé;Betfagé
βηθσφαγὴ;967;pt;betfagé;Betfagé;Betfagé;Betfagé
Βιθυνίαν;978;traducao;bitínia;Bitínia;Bitínia;Bitínia
Βιθυνίαν;978;pt;bitínia;Bitínia;Bitínia;Bitínia
Βιθυνίας;978;traducao;bitínia;Bitínia;da Bitínia;da Bitínia
Βιθυνίας;978;pt;bitínia;Bitínia;da Bitínia;da Bitínia
Βοὲς;1003;traducao;boaz;Boaz;Boaz;Boaz
Βοὲς;1003;pt;boaz;Boaz;Boaz;Boaz
Βοός;1003;traducao;boaz;Boaz;Boaz;Boaz
Βοός;1003;pt;boaz;Boaz;Boaz;Boaz
Βοὸζ;1003;traducao;boaz;Boaz;Boaz;Boaz
Βοὸζ;1003;pt;boaz;Boaz;Boaz;Boaz
βορβόρου;1004;traducao;lamo;lama;do lamo;do lama
βορβόρου;1004;pt;lamo;lama;do lamo;do lama
Βοσόρ;1007;traducao;bosor;Bosor;bosor;Bosor
Βοσόρ;1007;pt;bosor;Bosor;bosor;Bosor
Γαβριὴλ;1043;traducao;gabriel;Gabriel;Gabriel;Gabriel
Γαβριὴλ;1043;pt;gabriel;Gabriel;Gabriel;Gabriel
γαζοφυλακίῳ;1049;traducao;tesourario;tesouraria;a tesourario;a tesouraria
γαζοφυλακίῳ;1049;pt;tesourario;tesouraria;a tesourario;a tesouraria
γαζοφυλακίου;1049;traducao;tesourario;tesouraria;de tesourario;de tesouraria
γαζοφυλακίου;1049;pt;tesourario;tesouraria;de tesourario;de tesouraria
Γαλάται;1052;traducao;gálatos;gálatas;Gálatos;Gálatas
Γαλάται;1052;pt;gálatos;gálatas;Gálatos;Gálatas
Γαλατίας;1053;traducao;galácia;Galácia;da Galácia;da Galácia
Γαλατίας;1053;pt;galácia;Galácia;da Galácia;da Galácia
Γαλατίαν;1053;traducao;galácia;Galácia;Galácia;Galácia
Γαλατίαν;1053;pt;galácia;Galácia;Galácia;Galácia
Γαλιλαίας;1056;traducao;galiléia;Galiléia;da Galiléia;da Galiléia
Γαλιλαίας;1056;pt;galiléia;Galiléia;da Galiléia;da Galiléia
Γαλιλαίαν;1056;traducao;galiléia;Galiléia;Galiléia;Galiléia
Γαλιλαίαν;1056;pt;galiléia;Galiléia;Galiléia;Galiléia
Γαλιλαία;1056;traducao;galiléia;Galiléia;Galiléia;Galiléia
Γαλιλαία;1056;pt;galiléia;Galiléia;Galiléia;Galiléia
Γαλιλαῖοι;1057;traducao;galiléia;Galiléia;Galileu, da Galiléia;Galileu, da Galiléia
Γαλιλαῖος;1057;traducao;galiléia;Galiléia;Galileu, da Galiléia;Galileu, da Galiléia
Γαμαλιήλ;1059;traducao;gamaliel;Gamaliel;Gamaliel;Gamaliel
Γαμαλιήλ;1059;pt;gamaliel;Gamaliel;Gamaliel;Gamaliel
Γεθσημανί;1068;traducao;getsêmani;Getsêmani;Getsêmani;Getsêmani
Γεθσημανί;1068;pt;getsêmani;Getsêmani;Getsêmani;Getsêmani
γεθσημανῆ;1068;traducao;getsêmani;Getsêmani;Getsêmani;Getsêmani
γεθσημανῆ;1068;pt;getsêmani;Getsêmani;Getsêmani;Getsêmani
Γεννησαρέτ;1082;traducao;genesaré;Genesaré;Genesaré;Genesaré
Γεννησαρέτ;1082;pt;genesaré;Genesaré;Genesaré;Genesaré
Γεργεσηνῶν;1086;traducao;gergesenos;Gergesenos;dos Gergesenos;dos Gergesenos
Γεργεσηνῶν;1086;pt;gergesenos;Gergesenos;dos Gergesenos;dos Gergesenos
Γομόρροις;1116;traducao;gomorros;Gomorra;aos Gomorros;aos Gomorra
Γομόρροις;1116;pt;gomorros;Gomorra;aos Gomorros;aos Gomorra
Γομόρρας;1116;traducao;gomorra;Gomorra;da Gomorra;da Gomorra
Γομόρρας;1116;pt;gomorra;Gomorra;da Gomorra;da Gomorra
Γομόρρων;1116;traducao;gomorros;Gomorra;dos Gomorros;dos Gomorra
Γομόρρων;1116;pt;gomorros;Gomorra;dos Gomorros;dos Gomorra
Γόμορρα;1116;traducao;gomorra;Gomorra;Gomorra;Gomorra
Γόμορρα;1116;pt;gomorra;Gomorra;Gomorra;Gomorra
γραμματεῦσιν;1122;traducao;escribos;escribas;aos escribos;aos escribas
γραμματεῦσιν;1122;pt;escribos;escribas;aos escribos;aos escribas
Γὼγ;1136;traducao;gogue;Gogue;Gogue;Gogue
Γὼγ;1136;pt;gogue;Gogue;Gogue;Gogue
Δαυίδ;1138;traducao;davi;Davi;Davi;Davi
Δαυίδ;1138;pt;davi;Davi;Davi;Davi
Δαλμανουθά;1148;traducao;dalmanuta;Dalmanuta;Dalmanuta;Dalmanuta
Δαλμανουθά;1148;pt;dalmanuta;Dalmanuta;Dalmanuta;Dalmanuta
Δαλματίαν;1149;traducao;dalmácia;Dalmácia;Dalmácia;Dalmácia
Δαλματίαν;1149;pt;dalmácia;Dalmácia;Dalmácia;Dalmácia
Δάμαρις;1152;traducao;damares;Damares;Damares;Damares
Δάμαρις;1152;pt;damares;Damares;Damares;Damares
Δανιὴλ;1158;traducao;daniel;Daniel;Daniel;Daniel
Δανιὴλ;1158;pt;daniel;Daniel;Daniel;Daniel
ἐδειγμάτισεν;1165;traducao;expeu;expôs;ele(a) deu exemplo público, expeu, desonrou;ele(a) deu exemplo público, expôs, desonrou
Δεκαπόλει;1179;traducao;decápoli;Decápolis;à Decápoli;à Decápolis
Δεκαπόλει;1179;pt;decápoli;Decápolis;à Decápoli;à Decápolis
Δεκαπόλεως;1179;traducao;decápolis;Decápolis;de Decápolis;de Decápolis
Δεκαπόλεως;1179;pt;decápolis;Decápolis;de Decápolis;de Decápolis
Δερβαῖος;1190;traducao;derbean;derbeano;derbean;derbeano
Δερβαῖος;1190;pt;derbean;derbeano;derbean;derbeano
Δέρβην;1191;traducao;derbe;Derbe;Derbe;Derbe
Δέρβην;1191;pt;derbe;Derbe;Derbe;Derbe
Δημᾶς;1214;traducao;demas;Demas;Demas;Demas
Δημᾶς;1214;pt;demas;Demas;Demas;Demas
Δημητρίῳ;1216;traducao;demétrio;Demétrio;ao Demétrio;ao Demétrio
Δημητρίῳ;1216;pt;demétrio;Demétrio;ao Demétrio;ao Demétrio
Δημήτριος;1216;traducao;demétrio;Demétrio;Demétrio;Demétrio
Δημήτριος;1216;pt;demétrio;Demétrio;Demétrio;Demétrio
Διοσκούροις;1359;traducao;dióscuros;gêmeos;aos dióscuros;aos gêmeos
Διοσκούροις;1359;pt;dióscuros;gêmeos;aos dióscuros;aos gêmeos
Διοτρέφης;1361;traducao;diótrefe;Diótrofes;diótrefe;Diótrofes
Διοτρέφης;1361;pt;diótrefe;Diótrofes;diótrefe;Diótrofes
Δρουσίλλῃ;1409;traducao;drusila;Drusila;à Drusila;à Drusila
Δρουσίλλῃ;1409;pt;drusila;Drusila;à Drusila;à Drusila
Ἔβερ;1443;traducao;éber;Éber;Éber;Éber
Ἔβερ;1443;pt;éber;Éber;Éber;Éber
ἐγκρατῆ;1468;traducao;autocontrolado;autocontrolado;autocontrolado;autocontrolado
ἐγκρατῆ;1468;pt;autocontrolado;autocontrolado;autocontrolado;autocontrolado
ἐγχρίσῃ;1472;traducao;esfrege;esfregue;ele(a) unja, esfrege;ele(a) unja, esfregue
Ἑζεκίαν;1478;traducao;ezequio;Ezequias;ezequio;Ezequias
Ἑζεκίαν;1478;pt;ezequio;Ezequias;ezequio;Ezequias
Ἑζεκίας;1478;traducao;ezequio;Ezequias;ezequio;Ezequias
Ἑζεκίας;1478;pt;ezequio;Ezequias;ezequio;Ezequias
ἐθνάρχης;1481;traducao;etnarco;etnarca;etnarco;etnarca
ἐθνάρχης;1481;pt;etnarco;etnarca;etnarco;etnarca
εἰώθει;1486;traducao;estara;estará;ele(a) estara acostumado;ele(a) estará acostumado
εἰώθει;1486;pt;estara;estará;estara acostumado;estará acostumado
εἰδῶμεν;1492;traducao;vêssemos;víssemos;nós vêssemos, soubéssemos, percebêssemos, estivéssemos atento;nós víssemos, soubéssemos, percebêssemos, estivéssemos atento
εἰδῶμεν;1492;pt;vêssemos;víssemos;vêssemos;víssemos
εἰδωλολάτραις;1496;traducao;idólatros;idólatras;aos idólatros;aos idólatras
εἰδωλολάτραις;1496;pt;idólatros;idólatras;aos idólatros;aos idólatras
