grego;strongs;campo;palavra_suspeita;texto_contexto;sugestao;decisao
Ἁνανίας;367;pt;ananias;Ananias;Ananias;Ananias
Ἁνανία;367;traducao;ananias;Ananias;Ananias;Ananias
Ἁνανία;367;pt;ananias;Ananias;Ananias;Ananias
Ἁνανίαν;367;traducao;ananias;Ananias;Ananias;Ananias
Ἁνανίαν;367;pt;ananias;Ananias;Ananias;Ananias
ἀναπαύσωνται;373;pt;desçansar;desçansar;REVISAR MANUALMENTE;descansar
ἀναπαύσωνται;373;traducao;desçansar;desçansar, refresçar, dar desçanso;REVISAR MANUALMENTE;descansar
ἀναπαύσωνται;373;traducao;refresçar;desçansar, refresçar, dar desçanso;REVISAR MANUALMENTE;refrescar
ἀναπαύσωνται;373;traducao;desçanso;desçansar, refresçar, dar desçanso;REVISAR MANUALMENTE;descanso
ἀνέθετο;394;traducao;expeu;ele(a) expeu, declarou, colocou diante, comunicou;REVISAR MANUALMENTE;expôs
ἀνεθέμην;394;traducao;expi;eu expi, declarei, coloquei diante, comuniquei;REVISAR MANUALMENTE;expus
ἀνέθετο;394;pt;expeu;expeu;REVISAR MANUALMENTE;expôs
ἀνεθέμην;394;pt;expi;expi;REVISAR MANUALMENTE;expus
Ἀνδρέας;406;traducao;andré;André;REVISAR MANUALMENTE;André
Ἀνδρέας;406;pt;andré;André;REVISAR MANUALMENTE;André
Ἀνδρέαν;406;traducao;andré;André;REVISAR MANUALMENTE;André
Ἀνδρέαν;406;pt;andré;André;REVISAR MANUALMENTE;André
Ἀνδρέᾳ;406;traducao;andré;ao André;REVISAR MANUALMENTE;André
Ἀνδρέᾳ;406;pt;andré;ao André;REVISAR MANUALMENTE;André
Ἀνδρέου;406;traducao;andré;de André;REVISAR MANUALMENTE;André
Ἀνδρέου;406;pt;andré;de André;REVISAR MANUALMENTE;André
ἀνδρόνικον;408;traducao;andrônico;Andrônico;REVISAR MANUALMENTE;Andrônico
ἀνδρόνικον;408;pt;andrônico;Andrônico;REVISAR MANUALMENTE;Andrônico
ἀνθέστηκεν;436;traducao;opeu;ele(a) resistiu, se opeu;REVISAR MANUALMENTE;opôs
ἀνθεστηκότες;436;traducao;opido;tendo resistido, tendo opido;REVISAR MANUALMENTE;oposto
ἀνθύπατοί;446;traducao;procônsules;procônsules;REVISAR MANUALMENTE;
ἀνθύπατοί;446;pt;procônsules;procônsules;REVISAR MANUALMENTE;
Ἅννα;451;traducao;ana;Ana;REVISAR MANUALMENTE;Ana
Ἅννα;451;pt;ana;Ana;REVISAR MANUALMENTE;Ana
ἀντιλέγοντα;483;traducao;opendo;falando contra, opendo, contradizendo;REVISAR MANUALMENTE;opondo
Ἀντιοχείᾳ;490;traducao;antioquia;a Antioquia;Antioquia;Antioquia
Ἀντιοχείᾳ;490;pt;antioquia;a Antioquia;Antioquia;Antioquia
Ἀντιόχειαν;490;traducao;antioquia;Antioquia;Antioquia;Antioquia
Ἀντιόχειαν;490;pt;antioquia;Antioquia;Antioquia;Antioquia
Ἀντιοχείας;490;traducao;antioquia;de Antioquia;Antioquia;Antioquia
Ἀντιοχείας;490;pt;antioquia;de Antioquia;Antioquia;Antioquia
Ἀντιοχέα;491;traducao;antioquio;antioquio;REVISAR MANUALMENTE;Antioquia
Ἀντιοχέα;491;pt;antioquio;antioquio;REVISAR MANUALMENTE;Antioquia
ἀπεράντοις;562;traducao;sens;às sens fim;REVISAR MANUALMENTE;sem
ἀπεράντοις;562;pt;sens;às sens fim;REVISAR MANUALMENTE;sem
ἀπεῖχεν;568;traducao;abstia;ele(a) tinha por inteiro, recebia, estava distante, se abstia;REVISAR MANUALMENTE;abstinha
ἀπέχεσθε;568;traducao;abstei;vós tende por inteiro, recebei, estai distante, vos abstei;REVISAR MANUALMENTE;abstenhai
ἀπέχετε;568;traducao;estáis;vós tendes por inteiro, recebeis, estáis distante, vos absteis;REVISAR MANUALMENTE;estais
ἀπέχετε;568;traducao;absteis;vós tendes por inteiro, recebeis, estáis distante, vos absteis;REVISAR MANUALMENTE;abstenhais
ἀποβάλητε;577;traducao;perdais;vós jogueis fora, perdais;REVISAR MANUALMENTE;pecais
ἀποθνῄσκωμεν;599;traducao;perecamos;nós morramos, perecamos;REVISAR MANUALMENTE;pereçamos
ἀπέκρυψεν;613;traducao;manteu;ele(a) escondeu, manteu segredo;REVISAR MANUALMENTE;manteve
ἀπέκρυψας;613;traducao;manteste;tu escondeste, manteste segredo;REVISAR MANUALMENTE;mantiveste
ἀπόλλυνται;622;pt;destróem;destróem;REVISAR MANUALMENTE;destroem
ἀπώλεσα;622;pt;destrui;destrui;REVISAR MANUALMENTE;destruí
ἀπόλλυνται;622;traducao;destróem;eles(as) destróem, perecem, perdem;REVISAR MANUALMENTE;destroem
ἀπόλωνται;622;traducao;perdam;eles(as) destruam, pereçam, perdam;REVISAR MANUALMENTE;percam
ἀπολέσωμεν;622;traducao;perecamos;nós destruamos, perecamos, perdamos;REVISAR MANUALMENTE;pereçamos
ἀπολέσωμεν;622;traducao;perdamos;nós destruamos, perecamos, perdamos;REVISAR MANUALMENTE;percamos
ἀπολλύμεθα;622;traducao;perdemo;nós destruímo-nos, perecemos, perdemo-nos;REVISAR MANUALMENTE;
ἀπολέσητε;622;traducao;perdais;vós destruais, pereçais, perdais;REVISAR MANUALMENTE;percais
Ἀπολλύων;623;traducao;apoliom;Apoliom;REVISAR MANUALMENTE;Apoliom
Ἀπολλύων;623;pt;apoliom;Apoliom;REVISAR MANUALMENTE;Apoliom
Ἀπολλωνίαν;624;traducao;apolónia;Apolónia;REVISAR MANUALMENTE;Apolônia
Ἀπολλωνίαν;624;pt;apolónia;Apolónia;REVISAR MANUALMENTE;Apolônia
ἀποφυγόντας;668;pt;esçapado;tendo esçapado;REVISAR MANUALMENTE;escapado
ἀποφυγόντας;668;traducao;esçapado;tendo esçapado, tendo fugido, tendo evitado;REVISAR MANUALMENTE;escapado
ἀργυροκόπος;695;traducao;ourive;ourive;REVISAR MANUALMENTE;ourives
ἀργυροκόπος;695;pt;ourive;ourive;REVISAR MANUALMENTE;ourives
Ἁρέτα;702;traducao;areto;do areto;REVISAR MANUALMENTE;Aretas
Ἁρέτα;702;pt;areto;do areto;REVISAR MANUALMENTE;Aretas
Ἁριμαθαίας;707;traducao;arimatéia;de Arimatéia;REVISAR MANUALMENTE;Arimatéia
Ἁριμαθαίας;707;pt;arimatéia;de Arimatéia;REVISAR MANUALMENTE;Arimatéia
ἀριστοβούλου;711;traducao;aristóbulo;de Aristóbulo;REVISAR MANUALMENTE;Aristóbulo
ἀριστοβούλου;711;pt;aristóbulo;de Aristóbulo;REVISAR MANUALMENTE;Aristóbulo
Μαγεδών;717;traducao;armagedom;Armagedom;REVISAR MANUALMENTE;Armagedom
Μαγεδών;717;pt;armagedom;Armagedom;REVISAR MANUALMENTE;Armagedom
Ἃρ ͜ ;717;traducao;armagedom;Armagedom;REVISAR MANUALMENTE;Armagedom
Ἃρ ͜ ;717;pt;armagedom;Armagedom;REVISAR MANUALMENTE;Armagedom
ἁρμαγεδών;717;traducao;armagedom;Armagedom;REVISAR MANUALMENTE;Armagedom
ἁρμαγεδών;717;pt;armagedom;Armagedom;REVISAR MANUALMENTE;Armagedom
ἀρτεμᾶν;734;traducao;ártemas;Ártemas;REVISAR MANUALMENTE;Ártemas
ἀρτεμᾶν;734;pt;ártemas;Ártemas;REVISAR MANUALMENTE;Ártemas
Ἄρτεμις;735;traducao;ártemis;Ártemis;REVISAR MANUALMENTE;Ártemis
Ἄρτεμις;735;pt;ártemis;Ártemis;REVISAR MANUALMENTE;Ártemis
Ἀρτέμιδος;735;traducao;ártemis;de Ártemis;REVISAR MANUALMENTE;Ártemis
Ἀρτέμιδος;735;pt;ártemis;de Ártemis;REVISAR MANUALMENTE;Ártemis
Ἀρφαξάδ;742;traducao;arfaxade;arfaxade;REVISAR MANUALMENTE;Arfaxade
Ἀρφαξάδ;742;pt;arfaxade;arfaxade;REVISAR MANUALMENTE;Arfaxade
Ἀρχέλαος;745;traducao;arquelau;Arquelau;REVISAR MANUALMENTE;Arquelau
Ἀρχέλαος;745;pt;arquelau;Arquelau;REVISAR MANUALMENTE;Arquelau
Ἀρχίππῳ;751;traducao;arquipo;a Arquipo;REVISAR MANUALMENTE;Arquipo
Ἀρχίππῳ;751;pt;arquipo;a Arquipo;REVISAR MANUALMENTE;Arquipo
ἀρωμάτων;759;traducao;especiarios;dos especiarios;REVISAR MANUALMENTE;especiarias
ἀρωμάτων;759;pt;especiarios;dos especiarios;REVISAR MANUALMENTE;especiarias
Ἀσάφ;760;traducao;asafe;Asafe;REVISAR MANUALMENTE;Asafe
Ἀσάφ;760;pt;asafe;Asafe;REVISAR MANUALMENTE;Asafe
Ἀσήρ;768;traducao;aser;Aser;REVISAR MANUALMENTE;Aser
Ἀσήρ;768;pt;aser;Aser;REVISAR MANUALMENTE;Aser
ἀσσαρίου;787;traducao;assarion;de assarion;REVISAR MANUALMENTE;assarion
ἀσσαρίου;787;pt;assarion;de assarion;REVISAR MANUALMENTE;assarion
ἀσσαρίων;787;traducao;assariones;dos assariones;REVISAR MANUALMENTE;assarions
ἀσσαρίων;787;pt;assariones;dos assariones;REVISAR MANUALMENTE;assarions
ἀστραπτούσαις;797;pt;pisçando;pisçando;REVISAR MANUALMENTE;piscando
ἀστραπτούσαις;797;traducao;pisçando;pisçando, brilhando, brilhando como um relâmpago;REVISAR MANUALMENTE;piscando
ἄστροις;798;traducao;estrelos;aos estrelos;REVISAR MANUALMENTE;estrelas
ἄστροις;798;pt;estrelos;aos estrelos;REVISAR MANUALMENTE;estrelas
ἄστρων;798;traducao;estrelos;dos estrelos;REVISAR MANUALMENTE;estrelas
ἄστρων;798;pt;estrelos;dos estrelos;REVISAR MANUALMENTE;estrelas
ἄστρα;798;traducao;estrelos;estrelos;REVISAR MANUALMENTE;estrelas
ἄστρα;798;pt;estrelos;estrelos;REVISAR MANUALMENTE;estrelas
ἀσύγκριτον;799;traducao;assíncrito;Assíncrito;REVISAR MANUALMENTE;Asíncrito
ἀσύγκριτον;799;pt;assíncrito;Assíncrito;REVISAR MANUALMENTE;Asíncrito
Ἀττάλειαν;825;traducao;atália;Atália;REVISAR MANUALMENTE;Atália
Ἀττάλειαν;825;pt;atália;Atália;REVISAR MANUALMENTE;Atália
αὐτοκατάκριτος;843;traducao;autocondenado;autocondenado;REVISAR MANUALMENTE;autocondenado
αὐτοκατάκριτος;843;pt;autocondenado;autocondenado;REVISAR MANUALMENTE;autocondenado
ἀφανίζουσιν;853;pt;destróem;destróem;REVISAR MANUALMENTE;destroem
ἀφανίζουσιν;853;traducao;destróem;eles(as) destróem, desaparecem, tornam invisível;REVISAR MANUALMENTE;destroem
ἀφίστασο;868;traducao;cae;tu parte, te retira, remove, abandona, cae;REVISAR MANUALMENTE;cai
Ἀχάζ;881;traducao;acaz;Acaz;REVISAR MANUALMENTE;Acaz
Ἀχάζ;881;pt;acaz;Acaz;REVISAR MANUALMENTE;Acaz
Ἀχίμ;885;traducao;aquim;Aquim;REVISAR MANUALMENTE;Aquim
Ἀχίμ;885;pt;aquim;Aquim;REVISAR MANUALMENTE;Aquim
Ἀχείμ;885;traducao;aquim;Aquim;REVISAR MANUALMENTE;Aquim
Ἀχείμ;885;pt;aquim;Aquim;REVISAR MANUALMENTE;Aquim
Βαλαάμ;903;traducao;balaão;Balaão;REVISAR MANUALMENTE;Balaão
Βαλαάμ;903;pt;balaão;Balaão;REVISAR MANUALMENTE;Balaão
Βαλὰκ;904;traducao;balaque;Balaque;REVISAR MANUALMENTE;Balaque
Βαλὰκ;904;pt;balaque;Balaque;REVISAR MANUALMENTE;Balaque
βαπτίσωνται;907;traducao;imergam;eles(as) batizem, imergam, mergulhem;REVISAR MANUALMENTE;imergiam
Βαραββᾶν;912;traducao;barrabás;Barrabás;Barrabás;Barrabás
Βαραββᾶν;912;pt;barrabás;Barrabás;Barrabás;Barrabás
Βαραββᾶς;912;traducao;barrabás;Barrabás;Barrabás;Barrabás
Βαραββᾶς;912;pt;barrabás;Barrabás;Barrabás;Barrabás
Βαράκ;913;traducao;baraque;Baraque;REVISAR MANUALMENTE;Baraque
Βαράκ;913;pt;baraque;Baraque;REVISAR MANUALMENTE;Baraque
βαρσαβᾶν;923;traducao;barrabás;Barrabás;Barrabás;Barrabás
βαρσαβᾶν;923;pt;barrabás;Barrabás;Barrabás;Barrabás
Βαρσαββᾶν;923;traducao;barsabás;Barsabás;REVISAR MANUALMENTE;Barsabás
Βαρσαββᾶν;923;pt;barsabás;Barsabás;REVISAR MANUALMENTE;Barsabás
Βαρτίμαιος;924;traducao;bartimeu;Bartimeu;REVISAR MANUALMENTE;Bartimeu
Βαρτίμαιος;924;pt;bartimeu;Bartimeu;REVISAR MANUALMENTE;Bartimeu
Βεελζεβοὺλ;954;traducao;belzebu;Belzebu;Belzebu;Belzebu
Βεελζεβοὺλ;954;pt;belzebu;Belzebu;Belzebu;Belzebu
Βελίαρ;955;traducao;beliar;Beliar;REVISAR MANUALMENTE;Belial
Βελίαρ;955;pt;beliar;Beliar;REVISAR MANUALMENTE;Belial
Βενιαμίν;958;traducao;benjamin;Benjamin;REVISAR MANUALMENTE;Benjamin
Βενιαμίν;958;pt;benjamin;Benjamin;REVISAR MANUALMENTE;Benjamin
Βερνίκη;959;traducao;berenice;Berenice;REVISAR MANUALMENTE;Berenice
Βερνίκη;959;pt;berenice;Berenice;REVISAR MANUALMENTE;Berenice
Βερνίκης;959;traducao;berenice;da Berenice;REVISAR MANUALMENTE;Berenice
Βερνίκης;959;pt;berenice;da Berenice;REVISAR MANUALMENTE;Berenice
Βεροίᾳ;960;traducao;beréia;à Beréia;REVISAR MANUALMENTE;Beréia
Βεροίᾳ;960;pt;beréia;à Beréia;REVISAR MANUALMENTE;Beréia
Βέροιαν;960;traducao;beréia;Beréia;REVISAR MANUALMENTE;Beréia
Βέροιαν;960;pt;beréia;Beréia;REVISAR MANUALMENTE;Beréia
Βεροιαῖος;961;traducao;bereano;Bereano;REVISAR MANUALMENTE;Bereano
Βεροιαῖος;961;pt;bereano;Bereano;REVISAR MANUALMENTE;Bereano
Βηθανίαν;963;traducao;betânia;Betânia;Betânia;Betânia
Βηθανίαν;963;pt;betânia;Betânia;Betânia;Betânia
Βηθανία;963;traducao;betânia;Betânia;Betânia;Betânia
Βηθανία;963;pt;betânia;Betânia;Betânia;Betânia
Βηθανίας;963;traducao;betânia;de Betânia;Betânia;Betânia
Βηθανίας;963;pt;betânia;de Betânia;Betânia;Betânia
βηθεσδά;964;traducao;betesda;Betesda;REVISAR MANUALMENTE;Betesda
βηθεσδά;964;pt;betesda;Betesda;REVISAR MANUALMENTE;Betesda
Βηθζαθά;964;traducao;betesdo;Betesdo;REVISAR MANUALMENTE;Betesda
Βηθζαθά;964;pt;betesdo;Betesdo;REVISAR MANUALMENTE;Betesda
Βηθσαιδά;966;traducao;betsaida;Betsaida;REVISAR MANUALMENTE;Betsaida
Βηθσαιδά;966;pt;betsaida;Betsaida;REVISAR MANUALMENTE;Betsaida
Βηθσαιδάν;966;traducao;betsaida;Betsaida;REVISAR MANUALMENTE;Betsaida
Βηθσαιδάν;966;pt;betsaida;Betsaida;REVISAR MANUALMENTE;Betsaida
Βηθφαγὴ;967;traducao;betfagé;Betfagé;REVISAR MANUALMENTE;Betfagé
Βηθφαγὴ;967;pt;betfagé;Betfagé;REVISAR MANUALMENTE;Betfagé
βηθσφαγὴ;967;traducao;betfagé;Betfagé;REVISAR MANUALMENTE;Betfagé
βηθσφαγὴ;967;pt;betfagé;Betfagé;REVISAR MANUALMENTE;Betfagé
Βιθυνίαν;978;traducao;bitínia;Bitínia;REVISAR MANUALMENTE;Bitínia
Βιθυνίαν;978;pt;bitínia;Bitínia;REVISAR MANUALMENTE;Bitínia
Βιθυνίας;978;traducao;bitínia;da Bitínia;REVISAR MANUALMENTE;Bitínia
Βιθυνίας;978;pt;bitínia;da Bitínia;REVISAR MANUALMENTE;Bitínia
Βοὲς;1003;traducao;boaz;Boaz;REVISAR MANUALMENTE;Boaz
Βοὲς;1003;pt;boaz;Boaz;REVISAR MANUALMENTE;Boaz
Βοός;1003;traducao;boaz;Boaz;REVISAR MANUALMENTE;Boaz
Βοός;1003;pt;boaz;Boaz;REVISAR MANUALMENTE;Boaz
Βοὸζ;1003;traducao;boaz;Boaz;REVISAR MANUALMENTE;Boaz
Βοὸζ;1003;pt;boaz;Boaz;REVISAR MANUALMENTE;Boaz
βορβόρου;1004;traducao;lamo;do lamo;REVISAR MANUALMENTE;lama
βορβόρου;1004;pt;lamo;do lamo;REVISAR MANUALMENTE;lama
Βοσόρ;1007;traducao;bosor;bosor;REVISAR MANUALMENTE;Bosor
Βοσόρ;1007;pt;bosor;bosor;REVISAR MANUALMENTE;Bosor
Γαβριὴλ;1043;traducao;gabriel;Gabriel;REVISAR MANUALMENTE;Gabriel
Γαβριὴλ;1043;pt;gabriel;Gabriel;REVISAR MANUALMENTE;Gabriel
γαζοφυλακίῳ;1049;traducao;tesourario;a tesourario;REVISAR MANUALMENTE;tesouraria
γαζοφυλακίῳ;1049;pt;tesourario;a tesourario;REVISAR MANUALMENTE;tesouraria
γαζοφυλακίου;1049;traducao;tesourario;de tesourario;REVISAR MANUALMENTE;tesouraria
γαζοφυλακίου;1049;pt;tesourario;de tesourario;REVISAR MANUALMENTE;tesouraria
Γαλάται;1052;traducao;gálatos;Gálatos;REVISAR MANUALMENTE;gálatas
Γαλάται;1052;pt;gálatos;Gálatos;REVISAR MANUALMENTE;gálatas
Γαλατίας;1053;traducao;galácia;da Galácia;REVISAR MANUALMENTE;Galácia
Γαλατίας;1053;pt;galácia;da Galácia;REVISAR MANUALMENTE;Galácia
Γαλατίαν;1053;traducao;galácia;Galácia;REVISAR MANUALMENTE;Galácia
Γαλατίαν;1053;pt;galácia;Galácia;REVISAR MANUALMENTE;Galácia
Γαλιλαίας;1056;traducao;galiléia;da Galiléia;Galiléia;Galiléia
Γαλιλαίας;1056;pt;galiléia;da Galiléia;Galiléia;Galiléia
Γαλιλαίαν;1056;traducao;galiléia;Galiléia;Galiléia;Galiléia
Γαλιλαίαν;1056;pt;galiléia;Galiléia;Galiléia;Galiléia
Γαλιλαία;1056;traducao;galiléia;Galiléia;Galiléia;Galiléia
Γαλιλαία;1056;pt;galiléia;Galiléia;Galiléia;Galiléia
Γαλιλαῖοι;1057;traducao;galiléia;Galileu, da Galiléia;Galiléia;Galiléia
Γαλιλαῖος;1057;traducao;galiléia;Galileu, da Galiléia;Galiléia;Galiléia
Γαμαλιήλ;1059;traducao;gamaliel;Gamaliel;REVISAR MANUALMENTE;Gamaliel
Γαμαλιήλ;1059;pt;gamaliel;Gamaliel;REVISAR MANUALMENTE;Gamaliel
Γεθσημανί;1068;traducao;getsêmani;Getsêmani;REVISAR MANUALMENTE;Getsêmani
Γεθσημανί;1068;pt;getsêmani;Getsêmani;REVISAR MANUALMENTE;Getsêmani
γεθσημανῆ;1068;traducao;getsêmani;Getsêmani;REVISAR MANUALMENTE;Getsêmani
γεθσημανῆ;1068;pt;getsêmani;Getsêmani;REVISAR MANUALMENTE;Getsêmani
Γεννησαρέτ;1082;traducao;genesaré;Genesaré;REVISAR MANUALMENTE;Genesaré
Γεννησαρέτ;1082;pt;genesaré;Genesaré;REVISAR MANUALMENTE;Genesaré
Γεργεσηνῶν;1086;traducao;gergesenos;dos Gergesenos;REVISAR MANUALMENTE;Gergesenos
Γεργεσηνῶν;1086;pt;gergesenos;dos Gergesenos;REVISAR MANUALMENTE;Gergesenos
Γομόρροις;1116;traducao;gomorros;aos Gomorros;REVISAR MANUALMENTE;Gomorra
Γομόρροις;1116;pt;gomorros;aos Gomorros;REVISAR MANUALMENTE;Gomorra
Γομόρρας;1116;traducao;gomorra;da Gomorra;REVISAR MANUALMENTE;Gomorra
Γομόρρας;1116;pt;gomorra;da Gomorra;REVISAR MANUALMENTE;Gomorra
Γομόρρων;1116;traducao;gomorros;dos Gomorros;REVISAR MANUALMENTE;Gomorra
Γομόρρων;1116;pt;gomorros;dos Gomorros;REVISAR MANUALMENTE;Gomorra
Γόμορρα;1116;traducao;gomorra;Gomorra;REVISAR MANUALMENTE;Gomorra
Γόμορρα;1116;pt;gomorra;Gomorra;REVISAR MANUALMENTE;Gomorra
γραμματεῦσιν;1122;traducao;escribos;aos escribos;REVISAR MANUALMENTE;escribas
γραμματεῦσιν;1122;pt;escribos;aos escribos;REVISAR MANUALMENTE;escribas
γρηγορεῖτε;1127;traducao;lit;vós vigiai, estai alerta, lit permanecei acordado;;
